"Syndroms related to vision impairment",,,,,,,,
Name,,Website,,Problems,,,,Genes
"ALG1-congenital disorder of glycosylation",,https://ghr.nlm.nih.gov/condition/alg1-congenital-disorder-of-glycosylation,,"Eye problems that may occur in people with this condition include eyes that do not point in the same direction (strabismus) or involuntary eye movements (nystagmus). Rarely, affected individuals develop vision loss.",,,,"ALG1 gene mutations lead to the production of an abnormal enzyme with reduced activity. The poorly functioning enzyme cannot add mannose to sugar chains efficiently, and the resulting oligosaccharides are often incomplete. Although the short oligosaccharides can be transferred to proteins and fats, the process is not as efficient as with the full-length oligosaccharide. The wide variety of signs and symptoms in ALG1-CDG are likely due to impaired glycosylation of proteins and lipids that are needed for normal function of many organs and tissues."
"ALG6-congenital disorder of glycosylation",,https://ghr.nlm.nih.gov/condition/alg6-congenital-disorder-of-glycosylation,,"Some individuals with ALG6-CDG have eye abnormalities including eyes that do not look in the same direction (strabismus) and an eye disorder called retinitis pigmentosa, which causes vision loss. ",,,,"ALG6 gene mutations lead to the production of an abnormal enzyme with reduced or no activity. Without a properly functioning enzyme, glycosylation cannot proceed normally, and oligosaccharides are incomplete. As a result, glycosylation is reduced or absent. The wide variety of signs and symptoms in ALG6-CDG are likely due to impaired glycosylation of proteins and fats that are needed for normal function in many organs and tissues, including the brain, eyes, liver, and hormone-producing (endocrine) system."
Alpha-mannosidosis,,https://ghr.nlm.nih.gov/condition/alpha-mannosidosis,,"Affected individuals may also experience a clouding of the lens of the eye (cataract).",,,,"Mutations in the MAN2B1 gene interfere with the ability of the alpha-mannosidase enzyme to perform its role in breaking down mannose-containing oligosaccharides. These oligosaccharides accumulate in the lysosomes and cause cells to malfunction and eventually die. Tissues and organs are damaged by the abnormal accumulation of oligosaccharides and the resulting cell death, leading to the characteristic features of alpha-mannosidosis."
"Alpha-methylacyl-CoA racemase deficiency",,https://ghr.nlm.nih.gov/condition/alpha-methylacyl-coa-racemase-deficiency,,"Vision problems caused by deterioration of the light-sensitive layer at the back of the eye (the retina) can also occur in this disorder.",,,,"Most individuals with AMACR deficiency have an AMACR gene mutation that results in a lack (deficiency) of functional enzyme. The enzyme deficiency leads to accumulation of pristanic acid in the blood. However, it is unclear how this accumulation is related to the specific signs and symptoms of AMACR deficiency."
"Alport syndrome",,https://ghr.nlm.nih.gov/condition/alport-syndrome,,"Affected individuals may also have misshapen lenses in the eyes (anterior lenticonus) and abnormal coloration of the light-sensitive tissue at the back of the eye (retina).",,,,"Mutations in the COL4A3, COL4A4, and COL4A5 genes. These genes each provide instructions for making one component of a protein called type IV collagen.  In the eye, this protein is important for maintaining the shape of the lens and the normal color of the retina. Mutations that disrupt type IV collagen can result in misshapen lenses and an abnormally colored retina."
"Alström syndrome",,https://ghr.nlm.nih.gov/condition/alstrom-syndrome,,"progressive loss of vision begin in infancy or early childhood",,,,"Mutations in the ALMS1 gene"
Aniridia,,https://ghr.nlm.nih.gov/condition/aniridia,,"Complete or partial absence of the colored part of the eye (the iris). These iris abnormalities may cause the pupils to be abnormal or misshapen. Aniridia can cause reduction in the sharpness of vision (visual acuity) and increased sensitivity to light (photophobia). can also have other eye problems. Increased pressure in the eye (glaucoma) typically appears in late childhood or early adolescence. Clouding of the lens of the eye (cataracts), occur in 50 percent to 85 percent of people with aniridia. In about 10 percent of affected people, the structures that carry information from the eyes to the brain (optic nerves) are underdeveloped. Individuals with aniridia may also have involuntary eye movements (nystagmus) or underdevelopment of the region at the back of the eye responsible for sharp central vision (foveal hypoplasia). Many of these eye problems contribute to progressive vision loss in affected individuals. The severity of symptoms is typically the same in both eyes.",,,,"Mutations in the PAX6 gene result in the production of a nonfunctional PAX6 protein that is unable to bind to DNA and regulate the activity of other genes. A lack of functional PAX6 protein disrupts the formation of the eyes during embryonic development."
"Ankylosing spondylitis",,https://ghr.nlm.nih.gov/condition/ankylosing-spondylitis,,"Ankylosing spondylitis affects the eyes in up to 40 percent of cases, leading to episodes of eye inflammation called acute iritis. Acute iritis causes eye pain and increased sensitivity to light (photophobia). ",,,,"A variation of the HLA-B gene called HLA-B27 increases the risk of developing ankylosing spondylitis. Although many people with ankylosing spondylitis have the HLA-B27 variation, most people with this version of the HLA-B gene never develop the disorder. It is not known how HLA-B27 increases the risk of developing ankylosing spondylitis. Variations in several additional genes, including ERAP1, IL1A, and IL23R, have also been associated with ankylosing spondylitis. Although these genes play critical roles in the immune system, it is unclear how variations in these genes affect a person's risk of developing ankylosing spondylitis. Changes in genes that have not yet been identified are also believed to affect the chances of developing ankylosing spondylitis and influence the progression of the disorder. Some of these genes likely play a role in the immune system, while others may have different functions. Researchers are working to identify these genes and clarify their role in ankylosing spondylitis."
"Apert syndrome",,https://ghr.nlm.nih.gov/condition/apert-syndrome,,"Shallow eye sockets can cause vision problems.",,,,"Mutations in the FGFR2"
"Arts syndrome",,https://ghr.nlm.nih.gov/condition/arts-syndrome#genes,,"In early childhood, affected boys develop vision loss caused by degeneration of nerves that carry information from the eyes to the brain (optic nerve atrophy). ",,,,"Mutations in the PRPS1 gene cause Arts syndrome."
"Asphyxiating thoracic dystrophy",,https://ghr.nlm.nih.gov/condition/asphyxiating-thoracic-dystrophy,,"Less common features includes an eye disease called retinal dystrophy that can lead to vision loss.",,,,"Mutations in at least 11 genes (CEP12 , CSPP1, DYNC2H1, IFT8 , IFT140, IFT17, TTC21, WDR19, WDR34, WDR35, WDR60) have been found to cause asphyxiating thoracic dystrophy. Genetic changes in the IFT80 gene were the first to be associated with this condition. Later, researchers discovered that mutations in another gene, DYNC2H1, account for up to half of all cases. Mutations in other genes each cause a small percentage of cases. In total, about 70 percent of people with asphyxiating thoracic dystrophy have mutations in one of the known genes."
"Ataxia neuropathy spectrum",,https://ghr.nlm.nih.gov/condition/ataxia-neuropathy-spectrum,,"Other signs and symptoms can include blindness.",,,,"Ataxia neuropathy spectrum is caused by mutations in the POLG gene or, rarely, the TWNK gene."
"Ataxia with oculomotor apraxia",,https://ghr.nlm.nih.gov/condition/ataxia-with-oculomotor-apraxia,,"Most affected people also have oculomotor apraxia, which makes it difficult to move their eyes side-to-side. People with oculomotor apraxia have to turn their head to see things in their side (peripheral) vision.",,,,"Mutations in the APTX and SETX genes cause ataxia with oculomotor apraxia types 1 and 2, respectively. Mutations in other genes (PIK3R, PNKP) re responsible for the rare types of ataxia with oculomotor apraxia."
"Ataxia with vitamin E deficiency",,https://ghr.nlm.nih.gov/condition/ataxia-with-vitamin-e-deficiency,,"Some people with this condition have developed an eye disorder called retinitis pigmentosa that causes vision loss. ",,,,"TTPA gene mutations impair the activity of the αTTP protein, resulting in an inability to retain and use dietary vitamin E."
"Autosomal dominant cerebellar ataxia, deafness, and narcolepsy",,https://ghr.nlm.nih.gov/condition/autosomal-dominant-cerebellar-ataxia-deafness-and-narcolepsy,,"Other features that can occur as the condition worsens include degeneration of the nerves that carry information from the eyes to the brain (optic atrophy); clouding of the lenses of the eyes (cataracts);",,,,"DNMT1 gene mutations that cause ADCADN affect a region of the DNA methyltransferase 1 enzyme that helps target the methylation process to the correct segments of DNA. As a result of these mutations, methylation is abnormal, which affects the expression of multiple genes. Maintenance of the neurons that make up the nervous system is disrupted, leading to the signs and symptoms of ADCADN."
"Autosomal dominant congenital stationary night blindness",,https://ghr.nlm.nih.gov/condition/autosomal-dominant-congenital-stationary-night-blindness,,"night blindness",,"Congenital disorder of retina",,"Mutations in the RHO, GNAT1, or PDE6B gene disrupt the normal signaling that occurs within rod cells. As a result, the rods cannot effectively transmit signals to the brain, leading to a lack of visual perception in low light."
"Autosomal dominant vitreoretinochoroidopathy",,https://ghr.nlm.nih.gov/condition/autosomal-dominant-vitreoretinochoroidopathy,,"mild reduction to complete loss of vision due to glaucoma or cataracts. A characteristic feature of ADVIRC, visible with a special eye exam, is a circular band of excess coloring (hyperpigmentation) in the retina. This feature can help physicians diagnose the disorder. Affected individuals may also have white spots on the retina.",,"defects in the retinal pigment epithelium or the photoreceptors causing microcornea and shallow anterior chamber",,"mutations in the BEST1 gene which plays a critical role in normal vision"
"Autosomal recessive congenital stationary night blindness",,https://ghr.nlm.nih.gov/condition/autosomal-recessive-congenital-stationary-night-blindness,,"A disorder of the retina. People with this condition typically have difficulty seeing and distinguishing objects in low light (night blindness). For example, they may not be able to identify road signs at night or see stars in the night sky. They also often have other vision problems, including loss of sharpness (reduced acuity), nearsightedness (myopia), involuntary movements of the eyes (nystagmus), and eyes that do not look in the same direction (strabismus). The vision problems associated with this condition are congenital, which means they are present from birth. They tend to remain stable (stationary) over time.",,,,"Mutations in several genes (CABP4, GPR179, GRM6, LRIT3, SLC24A1, TRPM) can cause autosomal recessive congenital stationary night blindness. Each of these genes provide instructions for making proteins that are found in the retina. These proteins are involved in sending (transmitting) visual signals from cells called rods, which are specialized for vision in low light, to cells called bipolar cells, which relay the signals to other retinal cells. This signaling is an essential step in the transmission of visual information from the eyes to the brain.Mutations in two genes, GRM6 and TRPM1, cause most cases of this condition. These genes provide instructions for making proteins that are necessary for bipolar cells to receive and relay signals. Mutations in other genes involved in the same bipolar cell signaling pathway are likely responsible for a small percentage of cases of autosomal recessive congenital stationary night blindness."
"Autosomal recessive spastic ataxia of Charlevoix-Saguenay",,https://ghr.nlm.nih.gov/condition/autosomal-recessive-spastic-ataxia-of-charlevoix-saguenay,,"People with ARSACS typically have involuntary eye movements (nystagmus). Other problems may include yellow streaks of fatty tissue in the light-sensitive tissue at the back of the eye (hypermyelination of the retina).",,,,"Mutations in the SACS gene cause the production of an unstable sacsin protein that does not function normally. It is unclear how the abnormal sacsin protein affects the brain and skeletal muscles and results in the signs and symptoms of ARSACS."
"Axenfeld-Rieger syndrome",,https://ghr.nlm.nih.gov/condition/axenfeld-rieger-syndrome,,"the colored part of the eye (the iris), may be thin or poorly developed. often have a pupil that is off-center (corectopia) or extra holes in the iris that can look like multiple pupils (polycoria). This condition can also cause abnormalities of the cornea, About half of affected individuals develop glaucoma",,,,"Axenfeld-Rieger syndrome results from mutations in at least two known genes, PITX2 and FOXC1. PITX2 gene mutations cause type 1, and FOXC1 gene mutations cause type 3. The gene associated with type 2 is likely located on chromosome 13, but it has not been identified. Mutations in either the PITX2 or FOXC1 gene disrupt the activity of other genes that are needed for normal development. Impaired regulation of these genes leads to problems in the formation of the anterior segment of the eye "
"Bardet-Biedl syndrome",,https://ghr.nlm.nih.gov/condition/bardet-biedl-syndrome,,"Vision loss is one of the major features of Bardet-Biedl syndrome. Loss of vision occurs as the light-sensing tissue at the back of the eye (the retina) gradually deteriorates. Problems with night vision become apparent by mid-childhood, followed by blind spots that develop in the side (peripheral) vision. Over time, these blind spots enlarge and merge to produce tunnel vision. Most people with Bardet-Biedl syndrome also develop blurred central vision (poor visual acuity) and become legally blind by adolescence or early adulthood.",,,,"Bardet-Biedl syndrome can result from mutations in at least 14 different genes (often called BBS genes, ARL6, BBS1, BBS2, BBS4, BBS5, BBS7, BBS9, BBS10, BBS12, CEP290, MKKS, MKS1, TRIM32, TTC8). Mutations in BBS genes lead to problems with the structure and function of cilia. About one-quarter of all cases of Bardet-Biedl syndrome result from mutations in the BBS1 gene. Another 20 percent of cases are caused by mutations in the BBS10 gene. The other BBS genes each account for only a small percentage of all cases of this condition. In about 25 percent of people with Bardet-Biedl syndrome, the cause of the disorder is unknown."
"Behçet disease",,https://ghr.nlm.nih.gov/condition/behcet-disease,,"An inflammation of the eye called uveitis is found in more than half of people with Behçet disease. Eye problems are more common in younger people with the disease and affect men more often than women. Uveitis can result in blurry vision and an extreme sensitivity to light (photophobia). Rarely, inflammation can also cause eye pain and redness. If untreated, the eye problems associated with Behçet disease can lead to blindness.",,,,"a particular variation in the HLA-B gene has been associated with the risk of developing Behçet disease."
"Benign essential blepharospasm",,https://ghr.nlm.nih.gov/condition/benign-essential-blepharospasm,,"Abnormal blinking or spasms of the eyelids. As the condition progresses, spasms of the muscles surrounding the eyes cause involuntary winking or squinting. Affected individuals have increasing difficulty keeping their eyes open, which can lead to severe vision impairment. ",,,,"Although genetic factors are almost certainly involved in benign essential blepharospasm, no genes have been clearly associated with the condition. Several studies have looked at the relationship between common variations (polymorphisms) in the DRD5 and TOR1A genes and the risk of developing benign essential blepharospasm. These studies have had conflicting results, with some showing an association and others finding no connection. "
"Beta-ureidopropionase deficiency",,https://ghr.nlm.nih.gov/condition/beta-ureidopropionase-deficiency,,"Deterioration of the optic nerve, which carries visual information from the eyes to the brain, can lead to vision loss in this condition.",,,,"UPB1 gene mutations can reduce or eliminate beta-ureidopropionase enzyme activity. Loss of this enzyme function reduces the production of beta-aminoisobutyric acid and beta-alanine, and leads to an excess of their precursor molecules, N-carbamyl-beta-aminoisobutyric acid and N-carbamyl-beta-alanine, which are released in the urine. Reduced production of beta-aminoisobutyric acid and beta-alanine may impair the function of these molecules in the nervous system, leading to neurological problems in some people with beta-ureidopropionase deficiency. The extent of the reduction in enzyme activity caused by a particular UPB1 gene mutation, "
"Bietti crystalline dystrophy",,https://ghr.nlm.nih.gov/condition/bietti-crystalline-dystrophy,,"progressive vision loss. People with Bietti crystalline dystrophy typically begin noticing vision problems in their teens or twenties. They experience a loss of sharp vision (reduction in visual acuity) and difficulty seeing in dim light (night blindness). They usually lose areas of vision (visual field loss), most often side (peripheral) vision. Color vision may also be impaired.",,"small, yellow or white crystal-like deposits of fatty (lipid) compounds accumulate in the light-sensitive tissue that lines the back of the eye (the retina). ",,"CYP4V2 gene mutations that cause Bietti crystalline dystrophy impair or eliminate the function of this enzyme and are believed to affect lipid breakdown. However, it is unknown how they lead to the specific signs and symptoms of Bietti crystalline dystrophy. For unknown reasons, the severity of the signs and symptoms differs significantly among individuals with the same CYP4V2 gene mutation"
"Biotinidase deficiency",,https://ghr.nlm.nih.gov/condition/biotinidase-deficiency,,"vision loss ",,,,"Mutations in the BTD gene reduce or eliminate the activity of biotinidase. Profound biotinidase deficiency results when the activity of biotinidase is reduced to less than 10 percent of normal. Partial biotinidase deficiency occurs when biotinidase activity is reduced to between 10 percent and 30 percent of normal. Without enough of this enzyme, biotin cannot be recycled. The resulting shortage of free biotin impairs the activity of biotin-dependent carboxylases, leading to a buildup of potentially toxic compounds in the body. If the condition is not treated promptly, this buildup damages various cells and tissues, causing the signs and symptoms described above."
"Blau syndrome",,https://ghr.nlm.nih.gov/condition/blau-syndrome,,"Most people with Blau syndrome also develop uveitis, which is swelling and inflammation of the middle layer of the eye (the uvea). The uvea includes the colored portion of the eye (the iris) and related tissues that underlie the white part of the eye (the sclera). Uveitis can cause eye irritation and pain, increased sensitivity to bright light (photophobia), and blurred vision. Other structures in the eye can also become inflamed, including the outermost protective layer of the eye (the conjunctiva), the tear glands, the specialized light-sensitive tissue that lines the back of the eye (the retina), and the nerve that carries information from the eye to the brain (the optic nerve). Inflammation of any of these structures can lead to severe vision impairment or blindness.",,,,"The NOD2 gene mutations that cause Blau syndrome result in a NOD2 protein that is overactive, which can trigger an abnormal inflammatory reaction. However, it is unclear how overactivation of the NOD2 protein causes the specific pattern of inflammation affecting the joints, eyes, and skin that is characteristic of Blau syndrome."
"Blepharophimosis, ptosis, and epicanthus inversus syndrome",,https://ghr.nlm.nih.gov/condition/blepharophimosis-ptosis-and-epicanthus-inversus-syndrome,,"People with this condition have a narrowing of the eye opening (blepharophimosis), droopy eyelids (ptosis), and an upward fold of the skin of the lower eyelid near the inner corner of the eye (epicanthus inversus). In addition, there is an increased distance between the inner corners of the eyes (telecanthus). Because of these eyelid abnormalities, the eyelids cannot open fully, and vision may be limited. Other structures in the eyes and face may be mildly affected by BPES. Affected individuals are at an increased risk of developing vision problems such as nearsightedness (myopia) or farsightedness (hyperopia) beginning in childhood. They may also have eyes that do not point in the same direction (strabismus) or ""lazy eye"" (amblyopia) affecting one or both eyes. ",,,,"Mutations in the FOXL2 gene cause BPES types I and II. It is difficult to predict the type of BPES that will result from the many FOXL2 gene mutations. However, mutations that result in a partial loss of FOXL2 protein function generally cause BPES type II. These mutations probably impair regulation of normal development of muscles in the eyelids, resulting in malformed eyelids that cannot open fully. Mutations that lead to a complete loss of FOXL2 protein function often cause BPES type I. These mutations impair the regulation of eyelid development as well as various activities in the ovaries, resulting in eyelid malformation and abnormally accelerated maturation of certain ovarian cells and the premature death of egg cells."
"Bohring-Opitz syndrome",,https://ghr.nlm.nih.gov/condition/bohring-opitz-syndrome,,"Characteristic eye problems occur in people with Bohring-Opitz syndrome. They may have protruding eyes (exophthalmos), eyes that do not point in the same direction (strabismus), widely spaced eyes (hypertelorism), or outside corners of the eyes that point upward (upslanting palpebral fissures). Affected individuals may have nearsightedness (myopia) or abnormalities in the light-sensitive tissue at the back of the eye (the retina) or the nerves that carry information from the eyes to the brain (optic nerves), which can impair vision.",,,,"It is unclear how ASXL1 gene mutations cause the signs and symptoms of Bohring-Opitz syndrome."
"Bosma arhinia microphthalmia syndrome",,https://ghr.nlm.nih.gov/condition/bosma-arhinia-microphthalmia-syndrome,,"In most people with BAMS, the eyeballs are abnormally small (microphthalmia) or absent (anophthalmia), which causes severe vision impairment or blindness. Additional eye abnormalities common in BAMS include a gap or hole in one of several structures of the eye (coloboma) and clouding of the lenses of the eyes (cataracts).",,,,"Researchers are unsure how SMCHD1 gene mutations affect the protein's function and lead to the development problems characteristic of BAMS. "
"Boucher-Neuhäuser syndrome",,https://ghr.nlm.nih.gov/condition/boucher-neuhauser-syndrome,,"eye abnormalities, most commonly chorioretinal dystrophy. Chorioretinal dystrophy refers to problems with the light-sensitive tissue that lines the back of the eye (the retina) and a nearby tissue layer called the choroid. These eye abnormalities lead to impaired vision. People with Boucher-Neuhäuser syndrome can also have abnormal eye movements, including involuntary side-to-side movements of the eyes (nystagmus).",,,,"PNPLA6 gene mutations are thought to impair NTE's function. However, it is unclear how these mutations cause Boucher-Neuhäuser syndrome. "
Bradyopsia,,https://ghr.nlm.nih.gov/condition/bradyopsia,,"the eyes adapt more slowly than usual to changing light conditions. For example, people with this condition are blinded for several seconds when going from a dark environment into a bright one, such as when walking out of a darkened movie theater into daylight. Their eyes also have trouble adapting from bright light to dark conditions, such as when driving into a dark tunnel on a sunny day. Some people with bradyopsia also have difficulty seeing some moving objects, particularly small objects moving against a bright background. As a result, they often have trouble watching or participating in sports with a ball, such as soccer or tennis. People with bradyopsia can have reduced sharpness (acuity) of vision, although acuity may depend on the conditions under which vision is tested. Visual acuity may appear to be severely affected if it is tested under bright lights, but it can be near normal if tested in a dim environment. The ability to see colors and distinguish between them is normal.",,,,"Mutations in either the RGS9 or RGS9BP gene prevent photoreceptors from recovering quickly after responding to light. Normally they return to their resting state in a fraction of a second, but in people with mutations in one of these genes, it can take ten seconds or longer. During that time, the photoreceptors cannot respond to light. This delay causes temporary blindness in response to changing light conditions and interferes with seeing small objects when they are in motion."
"Branchio-oculo-facial syndrome",,https://ghr.nlm.nih.gov/condition/branchio-oculo-facial-syndrome,,"""Oculo-"" refers to the eyes. Many people with branchio-oculo-facial syndrome have malformations of the eyes that can lead to vision impairment. These abnormalities include unusually small eyeballs (microphthalmia), no eyeballs (anophthalmia), a gap or split in structures that make up the eyes (coloboma), or blockage of the tear ducts (nasolacrimal duct stenosis).",,,,"Most TFAP2A gene mutations that cause branchio-oculo-facial syndrome change single protein building blocks (amino acids) in the transcription factor AP-2α protein. These changes tend to occur in a region of the protein that allows it to bind to DNA. Without this function, transcription factor AP-2α cannot control the activity of genes during development, which disrupts the development of the eyes, ears, and face and causes the features of branchio-oculo-facial syndrome."
"Brooke-Spiegler syndrome",,https://ghr.nlm.nih.gov/condition/brooke-spiegler-syndrome,,"People with Brooke-Spiegler syndrome typically begin developing tumors in early adulthood. The tumors are most often found on the head and neck. They grow larger and increase in number over time. In severe cases, the tumors may get in the way of the eyes, ears, nose, or mouth and affect vision, hearing, or other functions. ",,,,"People with Brooke-Spiegler syndrome are born with a mutation in one of the two copies of the CYLD gene in each cell. This mutation prevents the cell from making functional CYLD protein from the altered copy of the gene. However, enough protein is usually produced from the other, normal copy of the gene to regulate cell growth effectively. For tumors to develop, a second mutation or deletion of genetic material involving the other copy of the CYLD gene must occur in certain cells during a person's lifetime.When both copies of the CYLD gene are mutated in a particular cell, that cell cannot produce any functional CYLD protein. The loss of this protein allows the cell to grow and divide in an uncontrolled way to form a tumor. In people with Brooke-Spiegler syndrome, a second CYLD mutation typically occurs in multiple cells over an affected person's lifetime. The loss of CYLD protein in different types of cells in the skin leads to the growth of a variety of skin appendage tumors."
"C3 glomerulopathy",,https://ghr.nlm.nih.gov/condition/c3-glomerulopathy,,"some people with dense deposit disease develop a buildup of yellowish deposits called drusen in the light-sensitive tissue at the retina. These deposits usually appear in childhood or adolescence and can cause vision problems later in life.",,,,"C3 glomerulopathy is associated with changes in many genes (ADAM19. C3 C3AR1 C8A CD46 CFB CFD CFH CFHR1 CFHR2 CFHR3 CFHR5 CFI CR1)"
"Camurati-Engelmann disease",,https://ghr.nlm.nih.gov/condition/camurati-engelmann-disease,,"In about a quarter of individuals with Camurati-Engelmann disease, the thickened skull increases pressure on the brain or compresses the spinal cord, which can cause a variety of neurological problems, including headaches, hearing loss, vision problems, ",,,,"The TGFB1 gene mutations that cause Camurati-Engelmann disease result in the production of an overly active TGFβ-1 protein. This abnormal TGFβ-1 protein activity causes an increase in signaling, which leads to more bone formation. As a result, the bones in the arms, legs, and skull are thicker than normal, contributing to the movement and neurological problems often experienced by individuals with Camurati-Engelmann disease."
"Cardiofaciocutaneous syndrome",,https://ghr.nlm.nih.gov/condition/cardiofaciocutaneous-syndrome,,"Additional features of this disorder in children and adults include problems with vision, ",,,,"Cardiofaciocutaneous syndrome can be caused by mutations in several genes. Mutations in the BRAF gene are most common, accounting for 75 to 80 percent of all cases. Another 10 to 15 percent of cases result from mutations in one of two similar genes, MAP2K1 and MAP2K2. Fewer than 5 percent of cases are caused by mutations in the KRAS gene."
"Carpenter syndrome",,https://ghr.nlm.nih.gov/condition/carpenter-syndrome,,"vision problems",,,,"Mutations in the RAB23 or MEGF8 gene lead to the production of proteins with little or no function. It is unclear how disruptions in protein function lead to the features of Carpenter syndrome, but it is likely that interference with normal body patterning plays a role. For reasons that are unknown, people with MEGF8 gene mutations are more likely to have dextrocardia and other organ positioning abnormalities and less severe craniosynostosis than individuals with RAB23 gene mutations."
