,Name1,GHR-webpage1,frequency1,Description1,,Inheritance-pattern1,,Related-gene-list1,,,Synonym-list1,Db-key-list1,key1,reviewed1,published,,,,
,(autistic),,"developmental problems.",,"people with a 16p11.2 duplication include a low weight; a small head size",,,,,,,OMIM,614671,,,,,,
,(epilepsy),,,,"(microcephaly); and developmental delay, especially in speech and language.",,,,,,,db,key,,,,,,
,"(malformation: kidney; urinary tract)",,,,"Affected individuals also have an increased risk of behavioral problems.",,,,,,,Orphanet,370079,,,,,,
,"(some may not have any signs)",,,,"However, some people with the duplication have no identified physical or",,,,,,,db,key,,,,,,
,,,,,"behavioral abnormalities.",,,,,,,"SNOMED CT",88326002,,,,,,
,,,,html:p,"Developmental delay and intellectual disability can occur in people with a",,,,,,,,,,,,,,
,,,,,"16p11.2 duplication. Approximately one-third of children with this condition",,,,,,,,,,,,,,
,,,,,"have delays in developing physical skills such as sitting, crawling, or walking.",,,,,,,,,,,,,,
,,,,,"The average IQ of affected individuals is about 26 points lower than that of",,,,,,,,,,,,,,
,,,,,"their parents without the duplication. About 80 percent of people with a 16p11.2",,,,,,,,,,,,,,
,,,,,"duplication have problems related to speech or language. Both expressive",,,,,,,,,,,,,,
,,,,,"language skills (vocabulary and the production of speech) and receptive language",,,,,,,,,,,,,,
,,,,,"skills (the ability to understand speech) can be affected.",,,,,,,,,,,,,,
,,,,html:p,"One of the most common behavioral problems associated with this chromosomal",,,,,,,,,,,,,,
,,,,,"change is attention deficit hyperactivity disorder. Autism spectrum disorders,",,,,,,,,,,,,,,
,,,,,"which affect communication and social skills, are diagnosed in about one in five",,,,,,,,,,,,,,
,,,,,"people with a 16p11.2 duplication. Affected individuals also have an increased",,,,,,,,,,,,,,
,,,,,"risk of mental health problems, including schizophrenia, anxiety, and",,,,,,,,,,,,,,
,,,,,"depression. Recurrent seizures are possible in this condition, although they do",,,,,,,,,,,,,,
,,,,,"not occur in most affected individuals.",,,,,,,,,,,,,,
,,,,html:p,"Other abnormalities that can occur with a 16p11.2 duplication include",,,,,,,,,,,,,,
,,,,,"malformations of the kidneys and urinary tract. However, there is no particular",,,,,,,,,,,,,,
,,,,,"pattern of physical abnormalities that characterizes 16p11.2 duplications; signs",,,,,,,,,,,,,,
,,,,,"and symptoms related to the chromosomal change vary even among affected members",,,,,,,,,,,,,,
,,,,,"of the same family.",,,,,,,,,,,,,,
5,"16p12.2 microdeletion",https://ghr.nlm.nih.gov/condition/16p122-microdeletion,"Researchers estimate that about 1 in 2,000 newborns have a 16p12.2",html,,code,memo,related-chromosome,name,ghr-page,"16p12.1 microdeletion",db,key,2017-08,2017-12-29,,,,
,(intellectual),,"microdeletion and show signs and symptoms of the condition. However, the actual",html:p,"16p12.2 microdeletion is a chromosomal change in which a small amount of genetic",ad,"autosomal dominant",,16,https://ghr.nlm.nih.gov/chromosome/16,"chromosome 16p12.1 deletion syndrome, 520-kb",GeneReviews,mdel16p12_2,,,,,,
,(developmental),,"number may be higher because many people with the microdeletion are likely never",,"material on chromosome 16 is deleted. The deletion occurs on the short (p) arm",,,,,,,db,key,,,,,,
,(hypotonia),,"diagnosed. Some never come to medical attention because they have no related",,"of the chromosome at a location designated p12.2. Common characteristics that",,,,,,,MeSH,D025063,,,,,,
,"(slow growth: short)",,"health or behavioral problems or have only mild signs and symptoms. Others have",,"have been described in people with a 16p12.2 microdeletion include developmental",,,,,,,db,key,,,,,,
,"(small head)",,"nonspecific features for which there can be many causes.",,"delay, delayed speech, intellectual disability that ranges from mild to",,,,,,,OMIM,136570,,,,,,
,"(Malformation: heart, kidney)",,,,"profound, weak muscle tone (hypotonia), slow growth resulting in short stature,",,,,,,,,,,,,,,
,(epilepsy),,,,"an usually small head (microcephaly), malformations of the heart, recurrent",,,,,,,,,,,,,,
,(behavioral),,,,"seizures (epilepsy), and psychiatric and behavioral problems.",,,,,,,,,,,,,,
,"(psychiatric/ mental)",,,html:p,"Less common features that can occur in people with a 16p12.2 microdeletion can",,,,,,,,,,,,,,
,"(hearing loss)",,,,"include hearing loss, an opening in the lip (cleft lip) with or without an",,,,,,,,,,,,,,
,"(physical: cleft lip; cleft palate)",,,,"opening in the roof of the mouth (cleft palate), dental abnormalities, malformed",,,,,,,,,,,,,,
,(dental),,,,"kidneys, and genital abnormalities in males. However, there is no particular",,,,,,,,,,,,,,
,"(some may not have any signs)",,,,"pattern of physical abnormalities that characterizes individuals with a 16p12.2",,,,,,,,,,,,,,
,,,,,"microdeletion. Signs and symptoms related to the chromosomal change vary even",,,,,,,,,,,,,,
,,,,,"among affected members of the same family, and some people with the deletion",,,,,,,,,,,,,,
,,,,,"have no identified physical or behavioral abnormalities.",,,,,,,,,,,,,,
6,"17 alpha-hydroxylase/17,20-lyase deficiency",https://ghr.nlm.nih.gov/condition/17-alpha-hydroxylase-17-20-lyase-deficiency,"17α-hydroxylase/17,20-lyase deficiency accounts for about 1 percent of",html,,code,memo,related-gene,gene-symbol,ghr-page,"17-alpha-hydroxylase deficiency",db,key,2016-03,2017-12-29,,,,
,7α-羟化酶缺乏症,,"congenital adrenal hyperplasia cases. It is estimated to occur in 1 in 1 million",html:p,"17 alpha(α)-hydroxylase/17,20-lyase deficiency is a condition that affects the",ar,"autosomal recessive",,CYP17A1,https://ghr.nlm.nih.gov/gene/CYP17A1,"17-alpha-hydroxylase-deficient congenital adrenal hyperplasia",GTR,C0268285,,,,,,
,"17,20-裂解酶缺乏症",,"people worldwide.",,"function of certain hormone-producing glands called the gonads (ovaries in",,,,,,"adrenal hyperplasia V",db,key,,,,,,
,"CYP17 缺乏症",,,,"females and testes in males) and the adrenal glands. The gonads direct sexual",,,,,,"combined 17 alpha-hydroxylase/17,20-lyase deficiency",MeSH,D000312,,,,,,
,"(hormone imbalance)",,,,"development before birth and during puberty and are important for reproduction.",,,,,,"congenital adrenal hyperplasia due to 17-alpha-hydroxylase deficiency",db,key,,,,,,
,"(high blood pressure)",,,,"The adrenal glands, which are located on top of the kidneys, regulate the",,,,,,"congenital adrenal hyperplasia type 5",OMIM,202110,,,,,,
,"(low blood potassium)",,,,"production of certain hormones, including those that control salt levels in the",,,,,,"deficiency of steroid 17-alpha-monooxygenase",db,key,,,,,,
,"(infertility: M&F)",,,,"body. People with 17α-hydroxylase/17,20-lyase deficiency have an imbalance of",,,,,,,Orphanet,418,,,,,,
,"(abnormal male genitalia: small penis, males raised as females)",,,,"many of the hormones that are made in these glands. 17α-hydroxylase/17,20-lyase",,,,,,,db,key,,,,,,
,,,,,"deficiency is one of a group of disorders, known as congenital adrenal",,,,,,,Orphanet,90793,,,,,,
,,,,,"hyperplasias, that impair hormone production and disrupt sexual development and",,,,,,,db,key,,,,,,
,,,,,maturation.,,,,,,,"SNOMED CT",124220008,,,,,,
,,,,html:p,"Hormone imbalances lead to the characteristic signs and symptoms of",,,,,,,,,,,,,,
,,,,,"17α-hydroxylase/17,20-lyase deficiency, which include high blood pressure",,,,,,,,,,,,,,
,,,,,"(hypertension), low levels of potassium in the blood (hypokalemia), and abnormal",,,,,,,,,,,,,,
,,,,,"sexual development. The severity of the features varies. Two forms of the",,,,,,,,,,,,,,
,,,,,"condition are recognized: complete 17α-hydroxylase/17,20-lyase deficiency, which",,,,,,,,,,,,,,
,,,,,"is more severe, and partial 17α-hydroxylase/17,20-lyase deficiency, which is",,,,,,,,,,,,,,
,,,,,"typically less so.",,,,,,,,,,,,,,
,,,,html:p,"Males and females are affected by disruptions to sexual development differently.",,,,,,,,,,,,,,
,,,,,"Females (who have two X chromosomes) with 17α-hydroxylase/17,20-lyase",,,,,,,,,,,,,,
,,,,,"deficiency are born with normal external female genitalia; however, the internal",,,,,,,,,,,,,,
,,,,,"reproductive organs, including the uterus and ovaries, may be underdeveloped.",,,,,,,,,,,,,,
,,,,,"Women with complete 17α-hydroxylase/17,20-lyase deficiency do not develop",,,,,,,,,,,,,,
,,,,,"secondary sex characteristics, such as breasts and pubic hair, and do not",,,,,,,,,,,,,,
,,,,,"menstruate (amenorrhea). Women with partial 17α-hydroxylase/17,20-lyase",,,,,,,,,,,,,,
,,,,,"deficiency may develop some secondary sex characteristics; menstruation is",,,,,,,,,,,,,,
,,,,,"typically irregular or absent. Either form of the disorder results in an",,,,,,,,,,,,,,
,,,,,"inability to conceive a baby (infertility).",,,,,,,,,,,,,,
,,,,html:p,"In affected individuals who are chromosomally male (having an X and a Y",,,,,,,,,,,,,,
,,,,,"chromosome), problems with sexual development lead to abnormalities of the",,,,,,,,,,,,,,
,,,,,"external genitalia. The most severely affected are born with characteristically",,,,,,,,,,,,,,
,,,,,"female external genitalia and are generally raised as females. However, because",,,,,,,,,,,,,,
,,,,,"they do not have female internal reproductive organs, these individuals have",,,,,,,,,,,,,,
,,,,,"amenorrhea and do not develop female secondary sex characteristics. These",,,,,,,,,,,,,,
,,,,,"individuals have testes, but they are abnormally located in the abdomen",,,,,,,,,,,,,,
,,,,,"(undescended). Sometimes, complete 17α-hydroxylase/17,20-lyase deficiency leads",,,,,,,,,,,,,,
,,,,,"to external genitalia that do not look clearly male or clearly female (ambiguous",,,,,,,,,,,,,,
,,,,,"genitalia). Males with partial 17α-hydroxylase/17,20-lyase deficiency usually",,,,,,,,,,,,,,
,,,,,"have abnormal male genitalia, such as a small penis (micropenis), the opening of",,,,,,,,,,,,,,
,,,,,"the urethra on the underside of the penis (hypospadias), or a scrotum divided",,,,,,,,,,,,,,
,,,,,"into two lobes (bifid scrotum). Males with either complete or partial",,,,,,,,,,,,,,
,,,,,"17α-hydroxylase/17,20-lyase deficiency are also infertile.",,,,,,,,,,,,,,
7,"17-beta hydroxysteroid dehydrogenase 3 deficiency",,"17-beta hydroxysteroid dehydrogenase 3 deficiency is a rare disorder.",html,,code,memo,related-gene,gene-symbol,ghr-page,"17-beta hydroxysteroid dehydrogenase III deficiency",db,key,2008-11,2017-12-29,,,,
,"(sexual development)",,"Researchers have estimated that this condition occurs in approximately 1 in",html:p,"17-beta hydroxysteroid dehydrogenase 3 deficiency is a condition that affects",ar,"autosomal recessive",,HSD17B3,https://ghr.nlm.nih.gov/gene/HSD17B3,"17-ketosteroid reductase deficiency of testis",GTR,CN239160,,,,,,
,(hormone),,"147,000 newborns. It is more common in the Arab population of Gaza, where it",,"male sexual development. People with this condition are genetically male, with",,,,,,"17-KSR deficiency",db,key,,,,,,
,"(male:sexual ambiguous)",,"affects 1 in 200 to 300 people.",,"one X and one Y chromosome in each cell, and they have male gonads (testes).",,,,,,"neutral 17-beta-hydroxysteroid oxidoreductase deficiency",MeSH,D058490,,,,,,
,,,,,"Their bodies, however, do not produce enough of the male sex hormone",,,,,,"pseudohermaphroditism, male, with gynecomastia",db,key,,,,,,
,,,,,"testosterone. Testosterone has a critical role in male sexual development, and a",,,,,,"testosterone 17-beta-dehydrogenase deficiency",OMIM,264300,,,,,,
,,,,,"shortage of this hormone disrupts the formation of the external sex organs",,,,,,,db,key,,,,,,
,,,,,"before birth.",,,,,,,Orphanet,752,,,,,,
,"genetically male, appear female",,,html:p,"Most people with 17-beta hydroxysteroid dehydrogenase 3 deficiency are born with",,,,,,,db,key,,,,,,
,,,,,"external genitalia that appear female. In some cases, the external genitalia do",,,,,,,"SNOMED CT",50658006,,,,,,
,,,,,"not look clearly male or clearly female (sometimes called ambiguous genitalia).",,,,,,,,,,,,,,
,,,,,"Still other affected infants have genitalia that appear predominantly male,",,,,,,,,,,,,,,
,,,,,"often with an unusually small penis (micropenis) or the urethra opening on the",,,,,,,,,,,,,,
,,,,,"underside of the penis (hypospadias).",,,,,,,,,,,,,,
,,,,html:p,"During puberty, people with this condition develop some secondary sex",,,,,,,,,,,,,,
,,,,,"characteristics, such as increased muscle mass, deepening of the voice, and",,,,,,,,,,,,,,
,,,,,"development of male pattern body hair. The penis and scrotum (the sac of skin",,,,,,,,,,,,,,
,,,,,"that holds the testes) grow larger during this period. In addition to these",,,,,,,,,,,,,,
,,,,,"changes typical of adolescent boys, some affected males may also experience",,,,,,,,,,,,,,
,,,,,"breast enlargement (gynecomastia). Men with this disorder are generally unable",,,,,,,,,,,,,,
,,,,,"to father children (infertile).",,,,,,,,,,,,,,
,,,,html:p,"Children with 17-beta hydroxysteroid dehydrogenase 3 deficiency are often raised",,,,,,,,,,,,,,
,,,,,"as girls. About half of these individuals adopt a male gender role in",,,,,,,,,,,,,,
,,,,,"adolescence or early adulthood.",,,,,,,,,,,,,,
8,"17β-hydroxysteroid dehydrogenase type 10 deficiency",https://ghr.nlm.nih.gov/condition/17beta-hydroxysteroid-dehydrogenase-type-10-deficiency,"The prevalence of HSD10 deficiency is unknown. At least 11 affected",html,,code,memo,related-gene,gene-symbol,ghr-page,"2-methyl-3-hydroxybutyric aciduria",db,key,2009-10,2017-12-29,,,,
,"(developmental regression: before 5)",,"individuals have been identified.",html:p,"17β-hydroxysteroid dehydrogenase type 10 (HSD10) deficiency is a disorder that",xd,"X-linked dominant",,HSD17B10,https://ghr.nlm.nih.gov/gene/HSD17B10,"2-methyl-3-hydroxybutyryl-CoA dehydrogenase deficiency",GTR,C1845517,,,,,,
,"(vision loss)",,,,"affects many parts of the body. This condition is typically more severe in males",,,,,,2M3HBA,db,key,,,,,,
,"(hearing loss)",,,,"than in females. Males with HSD10 deficiency have normal early development but",,,,,,"3-hydroxy-2-methylbutyryl-CoA dehydrogenase deficiency",MeSH,D028361,,,,,,
,,,,,"soon begin to lose skills they have acquired. This developmental regression",,,,,,"3H2MBD deficiency",db,key,,,,,,
,,,,,"typically occurs before age 5 and results in intellectual disability and loss of",,,,,,"HSD10 deficiency",OMIM,300438,,,,,,
,,,,,"motor skills such as sitting, standing, and walking. Affected males frequently",,,,,,"hydroxyacyl-CoA dehydrogenase II deficiency",db,key,,,,,,
,,,,,"have weak muscle tone (hypotonia), recurrent seizures (epilepsy), and movement",,,,,,"MHBD deficiency","SNOMED CT",791000124107,,,,,,
,,,,,"problems. Progressive vision and hearing loss is also common in males with HSD10",,,,,,,db,key,,,,,,
,,,,,deficiency.,,,,,,,"SNOMED CT",801000124108,,,,,,
,,,,html:p,"Females with HSD10 deficiency may have developmental delay, learning problems,",,,,,,,,,,,,,,
,,,,,"or intellectual disability, but they do not experience developmental regression.",,,,,,,,,,,,,,
,,,,,"Some females may have additional features of this condition, such as epilepsy,",,,,,,,,,,,,,,
,,,,,"movement problems, and hearing loss.",,,,,,,,,,,,,,
9,"17q12 deletion syndrome",https://ghr.nlm.nih.gov/condition/17q12-deletion-syndrome,"The worldwide prevalence of 17q12 deletion syndrome is unknown, although",html,,code,memo,related-gene,gene-symbol,ghr-page,"17q12 chromosomal microdeletion",db,key,2017-04,2017-12-29,,,,
,,,"the condition appears to be rare. One study estimated that 17q12 deletion",html:p,"17q12 deletion syndrome is a condition that results from the deletion of a small",ad,"autosomal dominant",,HNF1B,https://ghr.nlm.nih.gov/gene/HNF1B,"17q12 microdeletion",GTR,C3281138,,,,,,
,,,"syndrome occurs in 1 in 14,500 people in Iceland.",,"piece of chromosome 17 in each cell. The deletion occurs on the long (q) arm of",,,related-gene,gene-symbol,ghr-page,"17q12 recurrent deletion syndrome",db,key,,,,,,
,,,,,"the chromosome at a position designated q12.",,,,LHX1,https://ghr.nlm.nih.gov/gene/LHX1,"deletion 17q12",GeneReviews,mdel17q12,,,,,,
,,,,html:p,"The signs and symptoms of 17q12 deletion syndrome vary widely, even among",,,related-chromosome,name,ghr-page,"recurrent genomic rearrangement in chromosome 17q12",db,key,,,,,,
,,,,,"affected members of the same family. Among the more common features associated",,,,17,https://ghr.nlm.nih.gov/chromosome/17,,MeSH,D001523,,,,,,
,,,,,"with this chromosomal change are problems with development or function of the",,,,,,,db,key,,,,,,
,,,,,"kidneys and urinary system. These abnormalities range from very severe",,,,,,,MeSH,D002872,,,,,,
,,,,,"malformations, leading to kidney failure before birth, to mild or no problems",,,,,,,db,key,,,,,,
,,,,,"with kidney and urinary tract function. Fluid-filled sacs (cysts) in the kidneys",,,,,,,MeSH,D003920,,,,,,
,,,,,"are particularly common. Many affected individuals also develop a form of",,,,,,,db,key,,,,,,
,,,,,"diabetes called maturity-onset diabetes of the young type 5 (MODY5), which is",,,,,,,MeSH,D007674,,,,,,
,,,,,"caused by a malfunction of certain cells in the pancreas. MODY5 usually appears",,,,,,,db,key,,,,,,
,,,,,"in adolescence or early adulthood, most often before age 25. The combination of",,,,,,,OMIM,614527,,,,,,
,,,,,"kidney cysts and MODY5 is sometimes referred to as renal cysts and diabetes",,,,,,,db,key,,,,,,
,,,,,"(RCAD) syndrome.",,,,,,,Orphanet,261265,,,,,,
,,,,html:p,"About half of people with 17q12 deletion syndrome have delayed development",,,,,,,,,,,,,,
,,,,,"(particularly speech and language delays), intellectual disability, or",,,,,,,,,,,,,,
,,,,,"behavioral or psychiatric disorders. Behavioral and psychiatric conditions that",,,,,,,,,,,,,,
,,,,,"have been reported in people with 17q12 deletion syndrome include autism",,,,,,,,,,,,,,
,,,,,"spectrum disorder (which affects social interaction and communication),",,,,,,,,,,,,,,
,,,,,"schizophrenia, anxiety, and bipolar disorder.",,,,,,,,,,,,,,
,,,,html:p,"Less commonly, 17q12 deletion syndrome also causes abnormalities of the eyes,",,,,,,,,,,,,,,
,,,,,"liver, brain, genitalia, and other body systems. Some females with this",,,,,,,,,,,,,,
,,,,,"chromosomal change have Mayer-Rokitansky-Küster-Hauser syndrome, which is",,,,,,,,,,,,,,
,,,,,"characterized by underdevelopment or absence of the vagina and uterus. 17q12",,,,,,,,,,,,,,
,,,,,"deletion syndrome is also sometimes associated with subtle differences in facial",,,,,,,,,,,,,,
,,,,,features.,,,,,,,,,,,,,,
10,"17q12 duplication",https://ghr.nlm.nih.gov/condition/17q12-duplication,"17q12 duplications appear to be uncommon. Several dozen people with this",html,,code,memo,related-chromosome,name,ghr-page,"17q12 duplication syndrome",db,key,2017-04,2017-12-29,,,,
,"(some may not have any signs)",,"chromosomal change have been described in the medical literature.",html:p,"17q12 duplication is a chromosomal change in which a small piece of chromosome",ad,"autosomal dominant",,17,https://ghr.nlm.nih.gov/chromosome/17,"17q12 microduplication",GTR,C3281137,,,,,,
,,,,,"17 is copied (duplicated) abnormally in each cell. The duplication occurs on the",,,,,,"17q12 microduplication syndrome",db,key,,,,,,
,,,,,"long (q) arm of the chromosome at a position designated q12.",,,,,,"17q12 recurrent duplication",GeneReviews,dup17q12,,,,,,
,,,,html:p,"Signs and symptoms related to 17q12 duplications vary significantly, even among",,,,,,"chromosome 17q12 duplication syndrome",db,key,,,,,,
,,,,,"members of the same family. Some individuals with the duplication have no",,,,,,"recurrent duplication of 17q12",MeSH,D002658,,,,,,
,,,,,"apparent signs or symptoms, or the features are very mild. Other individuals can",,,,,,,db,key,,,,,,
,,,,,"have intellectual disability, delayed development, and a wide range of physical",,,,,,,MeSH,D008607,,,,,,
,,,,,abnormalities.,,,,,,,db,key,,,,,,
,,,,html:p,"Intellectual and learning ability in people with 17q12 duplications ranges from",,,,,,,MeSH,D012640,,,,,,
,,,,,"normal to severely impaired. Many affected individuals have delayed development,",,,,,,,db,key,,,,,,
,,,,,"particularly involving speech and language skills and gross motor skills such",,,,,,,MeSH,D058674,,,,,,
,,,,,"sitting, standing, and walking. Seizures are also common. Behavioral and",,,,,,,db,key,,,,,,
,,,,,"psychiatric conditions that have been reported in people with 17q12 duplications",,,,,,,OMIM,614526,,,,,,
,,,,,"include autism spectrum disorder (which affects social interaction and",,,,,,,db,key,,,,,,
