"Syndroms related to sudden death",,,,,,syncope,"heart failure",,"cardiac arrest",,,coma
"Beta-ketothiolase deficiency",,https://ghr.nlm.nih.gov/condition/beta-ketothiolase-deficiency,,Coma,"Beta-ketothiolase deficiency is an inherited disorder in which the body cannot effectively process a protein building block (amino acid) called isoleucine. The signs and symptoms of beta-ketothiolase deficiency typically appear between the ages of 6 months and 24 months. Affected children experience episodes of vomiting, dehydration, difficulty breathing, extreme tiredness (lethargy), and, occasionally, seizures. These episodes, which are called ketoacidotic attacks, sometimes lead to coma. ","Mutations in the ACAT1 gene reduce or eliminate the activity of the ACAT1 enzyme. A shortage of this enzyme prevents the body from processing proteins and fats properly. As a result, related compounds can build up to toxic levels in the blood. These substances cause the blood to become too acidic (ketoacidosis), which can damage the body's tissues and organs, particularly in the nervous system.",,,,,,
"Biotin-thiamine-responsive basal ganglia disease",,https://ghr.nlm.nih.gov/condition/biotin-thiamine-responsive-basal-ganglia-disease,,Coma,"Biotin-thiamine-responsive basal ganglia disease is a disorder that affects the nervous system, including a group of structures in the brain called the basal ganglia, which help control movement. As its name suggests, the condition may improve if the vitamins biotin and thiamine are given as treatment. Without early and lifelong vitamin treatment, people with biotin-thiamine-responsive basal ganglia disease experience a variety of neurological problems that gradually get worse.The signs and symptoms of biotin-thiamine-responsive basal ganglia disease usually begin between the ages of 3 and 10, but the disorder can appear at any age. Severe cases may result in coma and become life-threatening.","Mutations in the SLC19A3 gene likely result in a protein with impaired ability to transport thiamine into cells, resulting in decreased absorption of the vitamin and leading to neurological dysfunction. In this disorder, abnormalities affect several parts of the brain. Using medical imaging, generalized swelling as well as specific areas of damage (lesions) in the brain can often be seen, including in the basal ganglia. The relationship between these specific brain abnormalities and the abnormal thiamine transporter is unknown.",,,,,,
"Brugada syndrome",,https://ghr.nlm.nih.gov/condition/brugada-syndrome,,"Sudden death, syncope","If untreated, the irregular heartbeats can cause fainting (syncope), seizures, difficulty breathing, or sudden death. These complications typically occur when an affected person is resting or asleep. Signs and symptoms related to arrhythmias, including sudden death, can occur from early infancy to late adulthood. Sudden death typically occurs around age 40. This condition may explain some cases of sudden infant death syndrome (SIDS), which is a major cause of death in babies younger than 1 year. SIDS is characterized by sudden and unexplained death, usually during sleep.","Caused by mutations in one of several genes (CACNA1C, CACNA2D, CACNB2, GPD1, HCN4, KCND, KCNE, KCNE5, KCNJ, RANGR, SCN1, SCN2T, SCN3B, SCN5A, SLMAP, TRPM, TXNL4. The most commonly mutated gene in this condition is SCN5A, which is altered in approximately 30 percent of affected individuals. ",,,,"Heart disease",,
"Carbamoyl phosphate synthetase I deficiency",,https://ghr.nlm.nih.gov/condition/carbamoyl-phosphate-synthetase-i-deficiency,,Coma,"In the first few days of life, infants with carbamoyl phosphate synthetase I deficiency typically exhibit the effects of hyperammonemia, which may include  coma. ","Mutations in the CPS1 gene cause carbamoyl phosphate synthetase I deficiency. The CPS1 gene provides instructions for making the enzyme carbamoyl phosphate synthetase I, In this condition, the carbamoyl phosphate synthetase I enzyme is at low levels (deficient) or absent, and the urea cycle cannot proceed normally. As a result, nitrogen accumulates in the bloodstream in the form of toxic ammonia instead of being converted to less toxic urea and excreted. ",,,,,,
"Carbonic anhydrase VA deficiency",,https://ghr.nlm.nih.gov/condition/carbonic-anhydrase-va-deficiency,,Coma,"Characterized by episodes during which the balance of certain substances in the body is disrupted (known as metabolic crisis) and brain function is abnormal (known as acute encephalopathy). These potentially life-threatening episodes can cause coma.","Mutations in the CA5A gene result in absent or impaired carbonic anhydrase VA enzyme function, leading to reduced bicarbonate production. Insufficient bicarbonate results in impaired control of acid-base balance and reduces the activity of the four affected mitochondrial enzymes, resulting in the various biochemical abnormalities associated with carbonic anhydrase VA deficiency. These imbalances cause acute encephalopathy and the other signs and symptoms associated with this disorder. Studies suggest that a related enzyme produced from the CA5B gene may increasingly compensate for the lack of carbonic anhydrase VA as affected individuals mature, which may result in a reduced risk of metabolic crisis and acute encephalopathy after childhood.",,,,,,
"Carney complex",,https://ghr.nlm.nih.gov/condition/carney-complex,,"Sudden death","Individuals with Carney complex are at increased risk of developing noncancerous (benign) tumors called myxomas in the heart (cardiac myxoma) and other parts of the body. Cardiac myxomas may be found in any of the four chambers of the heart and can develop in more than one chamber. These tumors can block the flow of blood through the heart, causing serious complications or sudden death.","Mutations in the PRKAR1A gene cause most cases of Carney complex. ",,,,"Heart disease caused by myxomas in the heart (cardiac myxoma)",,
"Carnitine-acylcarnitine translocase deficiency",,https://ghr.nlm.nih.gov/condition/carnitine-acylcarnitine-translocase-deficiency,,"Sudden death","Many infants with CACT deficiency do not survive the newborn period. Some affected individuals have a less severe form of the condition and do not develop signs and symptoms until early childhood. These individuals are at risk for liver failure, nervous system damage, coma, and sudden death.","Mutations in the SLC25A20 gene cause CACT deficiency",,,,"Metabolic disease",,
"Carnitine palmitoyltransferase I deficiency",,https://ghr.nlm.nih.gov/condition/carnitine-palmitoyltransferase-i-deficiency,,"Sudden death","Carnitine, a natural substance acquired mostly through the diet, is used by cells to process fats and produce energy. Individuals with CPT I deficiency are at risk for nervous system damage, liver failure, seizures, coma, and sudden death. Signs and symptoms of CPT I deficiency often appear during early childhood. Affected individuals usually have low blood sugar (hypoglycemia) and a low level of ketones, which are produced during the breakdown of fats and used for energy.","Mutations in the CPT1A gene",,,,"Metabolic disease",,
"Carnitine palmitoyltransferase II deficiency",,https://ghr.nlm.nih.gov/condition/carnitine-palmitoyltransferase-ii-deficiency,,"Sudden death","Infants with the lethal neonatal form of CPT II deficiency usually live for a few days to a few months. Individuals with the severe infantile hepatocardiomuscular form of CPT II deficiency are at risk for liver failure, nervous system damage, coma, and sudden death.","Mutations in the CPT2 gene",,,,"Metabolic disease",,
"Catecholaminergic polymorphic ventricular tachycardia",,https://ghr.nlm.nih.gov/condition/catecholaminergic-polymorphic-ventricular-tachycardia,,"Sudden death, syncope","If CPVT is not recognized and treated, an episode of ventricular tachycardia may cause the heart to stop beating (cardiac arrest), leading to sudden death. Researchers suspect that CPVT may be a significant cause of sudden death in children and young adults without recognized heart abnormalities.","CPVT can result from mutations in two genes, RYR2 and CASQ2. ",,,,"Cardiac arrest ",,
"Chronic atrial and intestinal dysrhythmia",,https://ghr.nlm.nih.gov/condition/chronic-atrial-and-intestinal-dysrhythmia,,Syncope,"Symptoms related to abnormal heartbeats can include dizziness, light-headedness, fainting (syncope), ","It is unclear why SGO1 gene mutations specifically affect the heart and intestines in CAID. Researchers suggest that the activity (expression) of the SGO1 gene in certain embryonic tissues or a particular function of the SGO1 protein in the SA node and in cells that help control peristalsis may account for the features of the disorder.",,,,,,
Citrullinemia,,https://ghr.nlm.nih.gov/condition/citrullinemia,,Coma,"Type II citrullinemia chiefly affects the nervous system, causing coma. ","Mutations in the SLC25A13 gene are responsible for adult-onset type II citrullinemia, NICCD, and FTTDCD. This gene provides instructions for making a protein called citrin. Within cells, citrin helps transport molecules used in the production and breakdown of simple sugars, the production of proteins, and the urea cycle. Molecules transported by citrin are also involved in making nucleotides, which are the building blocks of DNA and its chemical cousin, RNA. Mutations in the SLC25A13 gene typically prevent cells from making any functional citrin, which inhibits the urea cycle and disrupts the production of proteins and nucleotides. The resulting buildup of ammonia and other toxic substances leads to the signs and symptoms of adult-onset type II citrullinemia. A lack of citrin also leads to the features of NICCD and FTTDCD, although ammonia does not build up in the bloodstream of individuals with these conditions.",,,,,,
"Cold-induced sweating syndrome",,https://ghr.nlm.nih.gov/condition/cold-induced-sweating-syndrome,,"Sudden death","Characterized by problems with regulating body temperature and other abnormalities affecting many parts of the body. In infancy, the features of this condition are often known as Crisponi syndrome. Researchers originally thought that cold-induced sweating syndrome and Crisponi syndrome were separate disorders, but it is now widely believed that they represent the same condition at different times during life. By six months of age, infants with Crisponi syndrome develop unexplained high fevers that increase the risk of seizures and sudden death.","About 90 percent of cases of cold-induced sweating syndrome and Crisponi syndrome result from mutations in the CRLF1 gene. These cases are designated as CISS1. The remaining 10 percent of cases are caused by mutations in the CLCF1 gene and are designated as CISS2.",,,,"Body temp regulation",,
"Combined malonic and methylmalonic aciduria",,https://ghr.nlm.nih.gov/condition/combined-malonic-and-methylmalonic-aciduria,,"The signs and symptoms of CMAMMA can begin in childhood. In some children, the buildup of acids causes the blood to become too acidic (ketoacidosis), which can damage the body's tissues and organs. Other signs and symptoms may include coma. ",,"The effects of ACSF3 gene mutations are unknown. Researchers suspect that the mutations lead to altered enzymes that have little or no function. Because the enzyme cannot convert malonic and methylmalonic acids, they build up in the body. Damage to organs and tissues caused by accumulation of these acids may be responsible for the signs and symptoms of CMAMMA, although the mechanisms are unclear.",,,,,,
"Congenital central hypoventilation syndrome",,https://ghr.nlm.nih.gov/condition/congenital-central-hypoventilation-syndrome,,SIDS,"Researchers believe that some cases of sudden infant death syndrome (SIDS) or sudden unexplained death in children may be caused by undiagnosed CCHS.","Mutations are believed to interfere with the PHOX2B protein's role in promoting neuron formation and differentiation, especially in the autonomic nervous system, resulting in the problems regulating breathing and other body functions that occur in CCHS.",,,,,,
"Congenital generalized lipodystrophy",,https://ghr.nlm.nih.gov/condition/congenital-generalized-lipodystrophy,,"Sudden death","Some affected individuals develop a form of heart disease called hypertrophic cardiomyopathy, which can lead to heart failure and an abnormal heart rhythm (arrhythmia) that can cause sudden death. Researchers have described four types of congenital generalized lipodystrophy, which are distinguished by their genetic cause. Type 4 is associated with muscle weakness, delayed development, joint abnormalities, a narrowing of the lower part of the stomach (pyloric stenosis), and severe arrhythmia that can lead to sudden death.","Mutations in the AGPAT2, BSCL2, CAV1, and CAVIN1 genes cause congenital generalized lipodystrophy types 1 through 4, respectively. ",,,,"Some affected individuals develop a form of heart disease called hypertrophic cardiomyopathy, which can lead to heart failure and an abnormal heart rhythm (arrhythmia) that can cause sudden death. Type 4 is associated with muscle weakness, delayed development, joint abnormalities, a narrowing of the lower part of the stomach (pyloric stenosis), and severe arrhythmia that can lead to sudden death.",,
"Congenital hyperinsulinism",,https://ghr.nlm.nih.gov/condition/congenital-hyperinsulinism,,Coma,"A condition that causes individuals to have abnormally high levels of insulin, which is a hormone that helps control blood sugar levels. Peopleed episodes of low blood sugar increase the risk for serious complications such as breathing difficulties, seiz ma.","Mutations in at least nine genes (ABCC8, GCK, GLUD1, HADH, HNF1A, HNF4A, KCNJ11, SLC16A1, UCP )have been found to cause congenital hyperinsulinism. Mutations in the ABCC8 gene are the most common known cause of the disorder. They account for this condition in approximately 40 percent of affected individuals. Less frequently, mutations in the KCNJ11 gene have been found in people with congenital hyperinsulinism. Mutations in each of the other genes associated with this condition account for only a small percentage of cases.",,,,,,
"Corticosterone methyloxidase deficiency",,https://ghr.nlm.nih.gov/condition/corticosterone-methyloxidase-deficiency,,Coma,"A disorder characterized by excessive amounts of sodium released in the urine (salt wasting), along with insufficient release of potassium in the urine, usually beginning in the first few weeks of life. Severe cases of corticosterone methyloxidase deficiency can result in seizures and coma and can be life-threatening. ","The CYP11B2 gene mutations that cause corticosterone methyloxidase deficiency lead to insufficient production of aldosterone, which impairs the kidneys' ability to reabsorb salt (sodium chloride or NaCl) into the blood and release potassium in the urine. As a result, excessive amounts of salt in the form of charged atoms (ions) of sodium (Na+) and chlorine (Cl-) leave the body in the urine, while not enough potassium is released. The resulting imbalance of ions in the body underlies the signs and symptoms of corticosterone methyloxidase deficiency.",,,,,,
"Critical congenital heart disease",,https://ghr.nlm.nih.gov/condition/critical-congenital-heart-disease,,"Coma and death","A group of serious heart defects that are present from birth. These abnormalities result from problems with the formation of one or more parts of the heart during the early stages of embryonic development. If untreated, CCHD can lead to shock, coma, and death. However, most people with CCHD now survive past infancy due to improvements in early detection, diagnosis, and treatment.","Studies suggest that these genes (CFC1, FOXH1, GATA4, GATA6, GDF1, GJA1, HAND1, MED13L, NKX2-5, NKX2-6, NOTCH1, SMAD6, ZFPM2. Changes in single genes have been associated with CCHD) are involved in normal heart development before birth. Most of the identified mutations reduce the amount or function of the protein that is produced from a specific gene, which likely impairs the normal formation of structures in the heart. Studies have also suggested that having more or fewer copies of particular genes compared with other people, a phenomenon known as copy number variation, may play a role in CCHD. However, it is unclear whether genes affected by copy number variation are involved in heart development and how having missing or extra copies of those genes could lead to heart defects. Researchers believe that single-gene mutations and copy number variation account for a relatively small percentage of all CCHD.",,,,,,
"Cyclic vomiting syndrome",,https://ghr.nlm.nih.gov/condition/cyclic-vomiting-syndrome,,Syncope,"A disorder that causes recurrent episodes of nausea, vomiting, and tiredness (lethargy). This condition is diagnosed most often in young children, but it can affect people of any age. Many affected people experience other symptoms during and between episodes, including fainting spells (syncope). ","The causes of cyclic vomiting syndrome have yet to be determined, researchers have proposed several factors that may contribute to the disorder. Some cases of cyclic vomiting syndrome, particularly those that begin in childhood, may be related to changes in mitochondrial DNA.",,,,,,
"Dementia with Lewy bodies",,https://ghr.nlm.nih.gov/condition/dementia-with-lewy-bodies,,Syncope,"A nervous system disorder characterized by a decline in intellectual function (dementia), a group of movement problems known as parkinsonism, visual hallucinations, sudden changes (fluctuations) in behavior and intellectual ability, and acting out dreams while asleep (REM sleep behavior disorder). This condition typically affects older adults, most often developing between ages 50 and 85. The life expectancy of individuals with dementia with Lewy bodies varies; people typically survive about 5 to 7 years after they are diagnosed. Individuals with dementia with Lewy bodies may also experience a sharp drop in blood pressure upon fainting episodes (syncope), ","Mutations in the SNCA or SNCB gene cause dementia with Lewy bodies. GBA gene mutations increase the risk of developing the condition, but are not a direct cause. ",,,,,,
"Dilated cardiomyopathy with ataxia syndrome",,https://ghr.nlm.nih.gov/condition/dilated-cardiomyopathy-with-ataxia-syndrome,,"Syncope, cardiac arrest, and Sudden death","The irregular heartbeats (arrhythmia) can lead to fainting (syncope) or cardiac arrest and sudden death. Rarely, heart problems improve over time; however, in most cases of DCMA syndrome, affected individuals do not survive past childhood due to heart failure. A small percentage of people with DCMA syndrome have no heart problems at all.","Mutations in the DNAJC19 gene ",,,,"Heart disease",,
"Early-onset myopathy with fatal cardiomyopathy",,https://ghr.nlm.nih.gov/condition/early-onset-myopathy-with-fatal-cardiomyopathy,,"Sudden death","The heart disease worsens quickly, and it often causes heart failure and sudden death in adolescence or early adulthood.Early-onset myopathy with fatal cardiomyopathy (EOMFC) is an inherited muscle disease that affects the skeletal muscles, which are used for movement, and the heart (cardiac) muscle. This condition is characterized by skeletal muscle weakness that becomes apparent in early infancy. ","EOMFC is caused by mutations in the TTN gene.",,,,"Muscle disease.  irregular heartbeat (arrhythmia), shortness of breath, extreme tiredness (fatigue), and swelling of the legs and feet. The heart abnormalities associated with EOMFC usually become apparent in childhood, after the skeletal muscle abnormalities. The heart disease worsens quickly, and it often causes heart failure and sudden death in adolescence or early adulthood.",,
"Emery-Dreifuss muscular dystrophy",,https://ghr.nlm.nih.gov/condition/emery-dreifuss-muscular-dystrophy,,"Syncope, heart failure, and sudden death","Emery-Dreifuss muscular dystrophy is a condition that primarily affects muscles used for movement (skeletal muscles) and the heart (cardiac muscle). Almost all people with Emery-Dreifuss muscular dystrophy develop heart problems by adulthood. In many cases, these heart problems are abnormalities of the electrical signals that control the heartbeat (cardiac conduction defects) and abnormal heart rhythms (arrhythmias). If untreated, these abnormalities can lead to a sensation of fluttering or pounding in the chest (palpitations), an unusually slow heartbeat (bradycardia), fainting (syncope), heart failure, and an increased risk of sudden death.If untreated, these abnormalities can lead to a sensation of fluttering or pounding in the chest (palpitations), an unusually slow heartbeat (bradycardia), fainting (syncope), heart failure, and an increased risk of sudden death.","Mutations in several genes, including EMD, FHL1, and LMNA, can cause Emery-Dreifuss muscular dystrophy. Mutations in the EMD gene or, less commonly, in the FHL1 gene cause the X-linked type of the condition. Mutations in the LMNA gene cause both the autosomal dominant and autosomal recessive types of the condition.",,,,"If untreated, these abnormalities can lead to a sensation of fluttering or pounding in the chest (palpitations), an unusually slow heartbeat (bradycardia), fainting (syncope), heart failure, and an increased risk of sudden death.",,
"Familial atrial fibrillation",,https://ghr.nlm.nih.gov/condition/familial-atrial-fibrillation,,"Syncope, sudden death","An inherited abnormality of the heart's normal rhythm. Atrial fibrillation is characterized by episodes of uncoordinated electrical activity (fibrillation) in the heart's upper chambers (the atria), which cause a fast and irregular heartbeat. If untreated, this abnormal heart rhythm (arrhythmia) can lead to dizziness, chest pain, a sensation of fluttering or pounding in the chest (palpitations), shortness of breath, or fainting (syncope). Atrial fibrillation also increases the risk of stroke and sudden death.","Familial atrial fibrillation often results from rare mutations in single genes. However, these cases represent only a small fraction of all individuals with atrial fibrillation. (ABCC9, GJA5, KCNA5, KCNE2, KCNH2, KCNJ2, KCNQ1, LMNA, MYL4, NKX2-5, NPPA, NUP155, PRKAG2, RYR2, SCN1B, SCN2B, SCN3B, SCN4B, SCN5A)",,,,,,
"Familial dilated cardiomyopathy",,https://ghr.nlm.nih.gov/condition/familial-dilated-cardiomyopathy,,Syncope,"Familial dilated cardiomyopathy is a genetic form of heart disease. It occurs when heart (cardiac) muscle becomes thin and weakened in at least one chamber of the heart, causing the open area of the chamber to become enlarged (dilated). As a result, the heart is unable to pump blood as efficiently as usual. To compensate, the heart attempts to increase the amount of blood being pumped through the heart, leading to further thinning and weakening of the cardiac muscle. Over time, this condition results in heart failure. It usually takes many years for symptoms of familial dilated cardiomyopathy to cause health problems. They typically begin in mid-adulthood, but can occur at any time from infancy to late adulthood. Signs and symptoms of familial dilated cardiomyopathy can include an irregular heartbeat (arrhythmia), shortness of breath (dyspnea), extreme tiredness (fatigue), fainting episodes (syncope)","Mutations in more than 30 genes (ABCC9, ACTC1, ACTN2, ANKRD1, BAG3, CRYAB, CSRP3, DES, DMD, DSG2, EYA4, GATAD1, LAMA4, LDB3, LMNA, MYBPC3, MYH6, MYH7, MYPN, PLN, PSEN1, PSEN2, RBM20, SCN5A, SGCD, TAZ, TCAP, TMPO, TNNC1, TNNI3, TNNT2, TPM1, TTN, VCL)h ave been found to cause familial dilated cardiomyopathy. These genes provide instructions for making proteins that are found in cardiac muscle cells called cardiomyocytes.",,,,,,
"Familial hemiplegic migraine",,https://ghr.nlm.nih.gov/condition/familial-hemiplegic-migraine,,"Coma and death","A form of migraine headache that runs in families. Unusually severe migraine episodes have been reported in some people with familial hemiplegic migraine. These episodes have included fever, seizures, prolonged weakness, coma, and, rarely, death.","Researchers believe that mutations in the CACNA1A, ATP1A2, and SCN1A genes can upset the balance of ions in neurons, which disrupts the normal release and uptake of certain neurotransmitters in the brain. Although the mechanism is unknown, researchers speculate that mutations in the PRRT2 gene, which reduce the amount of PRRT2 protein, also disrupt normal control of neurotransmitter release. The resulting changes in signaling between neurons lead people with familial hemiplegic migraine to develop these severe headaches.",,,,,,
"Familial hemophagocytic lymphohistiocytosis",,https://ghr.nlm.nih.gov/condition/familial-hemophagocytic-lymphohistiocytosis,,Coma,"A disorder in which the immune system produces too many activated immune cells (lymphocytes) called T cells, natural killer cells, B cells, and macrophages (histiocytes). The brain may also be affected in familial hemophagocytic lymphohistiocytosis. As a result, affected individuals may experience, seizures, and coma.","Familial hemophagocytic lymphohistiocytosis may be caused by mutations in any of several genes (PRF1, STX11, STXBP2, UNC13D). These genes provide instructions for making proteins that help destroy or deactivate lymphocytes that are no longer needed. Approximately 40 to 60 percent of cases of familial hemophagocytic lymphohistiocytosis are caused by mutations in the PRF1 or UNC13D genes. Smaller numbers of cases are caused by mutations in other known genes. In some affected individuals, the genetic cause of the disorder is unknown.",,,,,,
"Glycogen storage disease type 0",,https://ghr.nlm.nih.gov/condition/glycogen-storage-disease-type-0,,"Syncope, Sudden death","The signs and symptoms of muscle GSD 0 typically begin in early childhood. Affected individuals often experience muscle pain and weakness or episodes of fainting (syncope) following moderate physical activity, such as walking up stairs. In all affected individuals, muscle GSD 0 impairs the heart's ability to effectively pump blood and increases the risk of cardiac arrest and sudden death, particularly after physical activity. Sudden death from cardiac arrest can occur in childhood or adolescence in people with muscle GSD 0.","Mutations in the GYS1 gene cause muscle GSD 0, and mutations in the GYS2 gene cause liver GSD 0. ",,,,"In all affected individuals, muscle GSD 0 impairs the heart's ability to effectively pump blood and increases the risk of cardiac arrest and sudden death, particularly after physical activity. Sudden death from cardiac arrest can occur in childhood or adolescence in people with muscle GSD 0.",,
"Gyrate atrophy of the choroid and retina",,https://ghr.nlm.nih.gov/condition/gyrate-atrophy-of-the-choroid-and-retina,,Coma,"An inherited disorder characterized by progressive vision loss. Occasionally, newborns with gyrate atrophy develop excess ammonia in the blood (hyperammonemia), which may lead to poor feeding, vomiting, seizures, or coma.","OAT gene mutations that cause gyrate atrophy result in a reduced amount of functional ornithine aminotransferase enzyme. A shortage of this enzyme impedes the conversion of ornithine into P5C. As a result, excess ornithine accumulates in the blood (hyperornithinemia), and less P5C than normal is produced. It is not clear how these changes result in the specific signs and symptoms of gyrate atrophy. ",,,,,,
"Hajdu-Cheney syndrome",,https://ghr.nlm.nih.gov/condition/hajdu-cheney-syndrome,,"Sudden death","The most serious complications of Hajdu-Cheney syndrome, which occur in about half of all affected individuals, are abnormalities known as platybasia and basilar invagination. Platybasia is a flattening of the base of the skull caused by thinning and softening of the skull bones. Basilar invagination occurs when the softened bones allow part of the spine to protrude abnormally through the opening at the bottom of the skull, pushing into the lower parts of the brain. These abnormalities can lead to severe neurological problems, including abnormal breathing, and sudden death.","Mutations in a specific area near the end of the NOTCH2 gene are associated with Hajdu-Cheney syndrome.",,,,"The most serious complications of Hajdu-Cheney syndrome, which occur in about half of all affected individuals, are abnormalities known as platybasia and basilar invagination. P",,
