"repititive behaviour",,,,,,
"loss of underarm and pubic hair",,,,,,
"brain dysfunction (encephalopathy)",,,,,,
"involuntary limb movements (choreoathetosis)",,,,,,
"narrowing of the eye opening (blepharophimosis), droopy eyelids (ptosis), and an upward fold of the skin of the lower eyelid near the inner corner of the eye (epicanthus inversus)",,,,,,
"Abnormal branchial arch development ",,,,,,
"unusually small eyeballs (microphthalmia),(anophthalmia), a gap or split in structures that make up the eyes (coloboma) or blockage of the tear ducts (nasolacrimal duct stenosis).",,,,,,
"distinctive facial features",,,,,,
"abnormal development of the second branchial arch forming masses in the neck called branchial cleft cysts.",,,,,,
"High levels of cortisol (hypercortisolism) ",,,,,,
"increased pressure within the skull (intracranial pressure)",,,,,,
"genital agenesis",,,,,,
"impair vision",,,,,,
"undescended testes (cryptorchidism)",,,,,,
"a swollen, rounded cheeks",,,,,,
"Abnormal development of the diaphragm",,,,,,
"development of small yellow deposits of fat under the skin called eruptive xanthomas ",,,,,,
"inflammation of the pancreas (pancreatitis).",,,,,,
"sparse hair, small or missing teeth, short fingernails and toenails, and loose skin.",,,,,,
"developmental abnormalities involving the skull (cranium) and face",,,,,,
"problems with regulating blood sugar levels ",,,,,,
"development of inward- and upward-turning feet (clubfeet) ",,,,,,
"development of a noncancerous tumor in the pituitary gland (pituitary adenoma)",,,,,,
"abnormal eye development, including missing eyebrows or eyelashes or a patch of hair extending from the side hairline to the eyebrow.",,,,,,
"abnormal bone development (dysostosis multiplex)",,,,,,
"abnormal development of the ovaries (polycystic ovaries)",,,,,,
"malformation of the hands and feet called ectrodactyly.",,,,,,
"multiple abnormalities in the blood vessels",,,,,,
"premature tooth loss",,,,,,
"development of wart-like skin ",,,,,,
"hyperpigmentation; skin coloring (pigmentation)",,,,,,
"development of swellings called spheroid bodies in the axons, the fibers that extend from nerve cells (neurons) ",,,,,,
"paralysis of the limbs (paraplegia)",,,,,,
"abnormal development of the ovaries (ovarian dysgenesis)",,,,,,
"abnormal development of arms,  resulting in characteristic arm malformations ",,,,,,
"brain having a smooth appearance (lissencephaly) ",,,,,,
"painful bumps or blisters on the face, neck, back, and arms.",,,,,,
"extra fingers and/or toes (digits; polydactyly)",,,,,,
"disability that ranges from mild to severe",,,,,,
"problems with the development of the roof of the mouth (palate), and ",,,,,,
"abnormally smooth brain with fewer folds and grooves (lissencephaly)",,,,,,
"premature closure of certain bones of the skull (craniosynostosis) ",,,,,,
"abnormal development of the Müllerian ducts, which are structures in the embryo that develop into the uterus, fallopian tubes, cervix, and the upper part of the vagina.",,,,,,
"underdeveloped or absent uterus and may also have abnormalities of other reproductive organs",,,,,,
"abnormal development of normal blood cells",,,,,,
"high blood pressure (hypertension)",,,,,,
"narrowing (stenosis) of the heart valves or blood vessels",,,,,,
"tightening of the pericardium",,,,,,
myoclonus,,,,,,
"abnormal development of retina: immature retinal cells accumulating at the back of the eye",,,,,,
"Abnormal development of the heart (cardio-)",,,,,,
"problems with development of the oral cavity",,,,,,
"dentinogenesis imperfecta",,,,,,
"abnormally small, fragile rib cage",,,,,,
"problems with the development of blood-forming cells",,,,,,
"cloudy cornea (opaque) which causes blurred vision",,,,,,
"unusually small head size (microcephaly)",,,,,,
"impaired brain development,",,,,,,
"underdevelopment of the tissue connecting the left and right halves of the brain (corpus callosum), ",,,,,,
"underdevelopment or absence of the bones in the forearms and the thumbs, which are known as radial ray malformations",,,,,,
"feeding problems",,,,,,
"small kidneys",,,,,,
"development of scar tissue around blood vessels",,,,,,
"respiratory problems",,,,,,
"patchy white matter abnormalities (lesions) in the brain",,,,,,
"osteopenia or osteoporosis",,,,,,
"low blood sugar (hypoglycemia)",,,,,,
"enlarged liver and spleen (hepatosplenomegaly)",,,,,,
"unusual breast development (gynecomastia) ",,,,,,
"development of bones in the spine and ribs ie mishapen and abnormally joint the bones of the spine (vertebrae)",,,,,,
"problems with breathing",,,,,,
"lack of development of the gonads",,,,,,
"development of female secondary sex characteristics",,,,,,
"underdevelopment of the facial bones that  may restrict an affected infant's airway causing potentially life-threatening respiratory problems.",,,,,,
"shortage of normal blood cells (pancytopenia)",,,,,,
"abnormal development (dysplasia) of heart (cardiac) valves",,,,,,
"fragile bones",,,,,,
"abnormal curvature of the spine (scoliosis)",,,,,,
