Name1,GHR-webpage1,frequency1,Description1,,Related-gene-list1,,,Synonym-list1,Db-key-list1,key1,reviewed1,published,,,,
,,,,,,,,,,,,,,,,
,,,html:p,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"3-methylcrotonyl-CoA carboxylase deficiency",https://ghr.nlm.nih.gov/condition/3-methylcrotonyl-coa-carboxylase-deficiency,"This condition is detected in an estimated 1 in 36,000 newborns worldwide.",html,memo,related-gene,gene-symbol,ghr-page,3-MCC,db,key,2008-10,2017-12-29,,,,
,,,html:p,"autosomal recessive",,MCCC1,https://ghr.nlm.nih.gov/gene/MCCC1,"3-MCC deficiency",GTR,C0268600,,,,,,
,,,,,related-gene,gene-symbol,ghr-page,"3-methylcrotonyl-coenzyme A carboxylase deficiency",db,key,,,,,,
,,,,,,MCCC2,https://ghr.nlm.nih.gov/gene/MCCC2,3-methylcrotonylglycinuria,GTR,C1859499,,,,,,
,,,,,,,,3MCC,db,key,,,,,,
,,,,,,,,"BMCC deficiency",GTR,CN028786,,,,,,
,,,html:p,,,,,"Deficiency of methylcrotonoyl-CoA carboxylase",db,key,,,,,,
,,,,,,,,"MCC deficiency",MeSH,D008661,,,,,,
,,,,,,,,"Methylcrotonyl-CoA carboxylase deficiency",db,key,,,,,,
,,,,,,,,,OMIM,210200,,,,,,
,,,,,,,,,db,key,,,,,,
,,,,,,,,,OMIM,210210,,,,,,
,,,,,,,,,db,key,,,,,,
,,,,,,,,,Orphanet,6,,,,,,
,,,,,,,,,db,key,,,,,,
,,,html:p,,,,,,"SNOMED CT",13144005,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"3-methylglutaconyl-CoA hydratase deficiency",https://ghr.nlm.nih.gov/condition/3-methylglutaconyl-coa-hydratase-deficiency,"3-methylglutaconyl-CoA hydratase deficiency is a rare disorder; at least 20",html,memo,related-gene,gene-symbol,ghr-page,"3-methylglutaconic aciduria, type I",db,key,2014-06,2017-12-29,,,,
,,"cases have been reported in the scientific literature.",html:p,"autosomal recessive",,AUH,https://ghr.nlm.nih.gov/gene/AUH,"3-MG-CoA-hydratase deficiency",GTR,C0342727,,,,,,
,,,,,,,,"AUH defect",db,key,,,,,,
,,,,,,,,"MGA, type I",ICD-10-CM,E71.111,,,,,,
,,,,,,,,MGA1,db,key,,,,,,
,,,,,,,,MGCA1,MeSH,D000592,,,,,,
,,,,,,,,"primary 3-methylglutaconic aciduria",db,key,,,,,,
,,,,,,,,,OMIM,250950,,,,,,
,,,html:p,,,,,,db,key,,,,,,
,,,,,,,,,Orphanet,67046,,,,,,
,,,,,,,,,db,key,,,,,,
,,,,,,,,,"SNOMED CT",237951008,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
