"gastrointestinal problems","Constipation; diarrhea; chronic diarrhea; poor feeding; feeding difficulty; gastroesophageal reflux; gastrointestinal difficulties; high levels of modified protein N-acetylated amino acids, in the urin; ",,,
Pain,"painful bumps or blisters on the face, neck, back, and arms; back pain; bones and joins pains; pain during urination; muscle pain (myalgia); tingling and numbness; pain in the arms and legs; abdominal pain; tingling sensation in the lips, fingers, and toes; prickling, or tingling sensations (paresthesias); ",,,
Tumor,"kidney cancer called Wilms tumor; increases risk of developing various cancerous and noncancerous tumors; childhood brain cancer called a medulloblastoma; hepatocellular carcinoma; ",,,
Tiredness,"Lack of energy; extremely tiredness (lethargy); low energy levels; extreme tiredness (fatigue); weakness; night sweats? What category?; severe progressive weakness; tend to tire easily",,,
Bleeding,"Nosebleed;  bleeding from the gums; excessive menstrual bleeding; problems with blood clotting; abnormal clotting or bleeding episodes; abnormal bleeding due to low numbers of platelets (thrombocytopenia); abnormal bleeding; ",,,
Recovery,"heal slowly from injuries",,,
Coma,,,,
"Sudden death",,,,
sickness,"intermittent fevers in sterile pyrexias; difficulty maintaining their body temperature; fainting (syncope); inability to sweat (anhidrosis); reduced ability to sweat; dangerously high body temperature (hyperthermia); increased sensitivity to heat; chronic sinus; fainting (syncope); early delivery; pregnancy loss (miscarriage); migraine headaches; unusually heavy sweating (hyperhidrosis); may experience seizures, especially when they have a fever; poorly controlled body temperature; inappropriate or impaired sweating; reduced ability to control body temperature; sudden death; sensation of fluttering; pounding in the chest (palpitations); light-headedness; stroke; disorder that impairs the body's ability to use vitamin E obtained from the diet; hay fever (allergic rhinitis); food allergies; easy bruising; dizziness when standing up quickly; excessive daytime sleepiness (narcolepsy); dangerously high body temperature;  tingling, shivering, a sense of fear, dizziness (vertigo); ",,,
"Autoimmune disorder","systemic lupus erythematosus; malfunctioning immune system that attacks the adrenal glands; Guillain-Barre syndrome",,,
Infection,"recurrent infection; recurrent lung infection; recurrent ear infections; recurrent sinuses infections; chronic active viral infections; Epstein-Barr virus infection; cytomegalovirus infections; fever; cough; congestion; flu-like symptoms; frequent infections; urinary tract infection; upper respiratory infection; infections in the lungs (pneumonia), ears (otitis media), sinuses (sinusitis), lymph nodes (lymphadenitis), skin, bones, and gastrointestinal tract; recurrent ear infections;  frequent upper respiratory infections; frequent infections due to low numbers of white blood cells neutropenia; infections of the skin, the nails, and the moist lining of body cavities (mucous membranes) caused by a type of fungus called Candida; yeast infections;  infections of the oral cavity (known as thrush); Infections of the esophagus; vaginal infections;  recurrent infections that are severe and can be life-threatening; ",,,
Inflammation,"inflammation of various tissues; inflammation of the blood vessels (vasculitis); uncontrolled inflammation of skin, gastrointestinal system, kidneys, and nervous system; pneumonia; inflammation of small blood vessels; spondyloarthropathies; inflammation of the joints between the pelvic bones (the ilia) and the base of the spine (the sacrum) ie sacroiliac joints inflammation (sacroiliitis); vertebrae inflammation (spondylitis); inflammation of joints of shoulders, hips, and knees; inflammation of joints between the spine and ribs; eye inflammation called acute iritis; inflammation of the skin (dermatitis); rashes commonly occur on the face, scalp, hands, and feet; inflammatory bowel disease; oral ulcers; ",,,
"Impaired immune system","abnormally low levels of antibodies particularly immunoglobulin G (IgG); reduction in antibodies; T cells and B cells have a decreased ability to recognize and respond to foreigninvaders; weakened immune system; immunodeficiency; ",,,
stroke,"recurrent strokes; ",,,
Growth,"Slow growth, rapid growth, overgrowth (macrosomia); early growth spurt; delay; low weight; not grow and gain weight at the expected rate (failure to thrive); Intrauterine growth retardation;  failure to gain weight and grow at the expected rate (failure to thrive); impaired growth during fetal development; excessive weight gain; stop growing sooner than usual (advanced bone age); lack of a growth spurt; ",,,
"Developmental abnormalities","Developmental regression typically before 5; Disrupt sexual development and maturation;  developmental disorder; developmental delay and disability;  Delayed development of involuntary movements (motor tics); physical developmental delays; Delayed development of speech; Developmental delayed of motor skills such as crawling, sitting, standing, holding up the head and rolling over,reaching for a toy and walking (psychomotor); aplasia cutis congenita: abnormal skin development; Abnormal development of ectodermal tissues including the skin, hair, teeth, and sweat; developmental abnormalities involving the skull (cranium) and face; problems with the development of blood-forming cells; developmental regression; bodies are unable to respond to certain male sex hormones (called androgens); body's tissues are partially sensitive to the effects of androgens (Reifenstein syndrome); neural tube fails to close during the first few weeks of embryonic development; neural tube fails to close; abnormal development of ectodermal tissues including the skin, hair, nails, teeth,  and sweat glands; absent tear duct openings in the eyes; underdeveloped placenta (placental insufficiency); ",,,
Stature,"Dwarfism; short stature; tall stature; small stature; small; obesity/ overweight; low weight; abnormally tall; ",,,
Figure,"chest with prominent shoulder blades and square shoulders; breast enlargement (gynecomastia); enlarged abdomen; excess fluid builds up in the body before birth(hydrops fetalis);  bowed legs; unevenness (asymmetry) in the shoulders, hips, or waist, or having one leg that appears longer than the other; swelling (edema); barrel-shaped chest; rounded upper back; male experience breast enlargement at puberty; abnormal swelling in the legs or abdomen; chest that is either sunken (pectus excavatum) or protruding (pectus carinatum); extremely narrow, bell-shaped chest; ",,,
"Blood Circulation","High blood pressure (hypertension); pulmonary hypertension; high blood sugar (hyperglyemia); diabetes; low blood sugar (hypoglycemia; problems with regulating blood sugar levels; low levels of potassium in the blood (hypokalemia); shortage of red blood cells; abnormal development of bone marrow cells called megakaryocytes; multiple abnormalities in the blood vessels; abnormal development of normal blood cells; narrowing (stenosis) of the blood vessels; problems with the development of blood-forming cell; development of scar tissue around blood vessel; shortage of normal blood cells (pancytopenia); abnormal development of megakaryocytes (hypolobted magakaryocytes); excess platelets; cysts, swollen and knotted (varicose) veins; low blood calcium;  elevated levels of acid in their blood (metabolic acidosis); high levels of insulin (hyperinsulinism); developing bulges in blood vessel walls (aneurysms) in the brain; narrowing of the blood vessels in the legs (peripheral vascular disease);  deep vein thrombosis (DVT); , type2 diabetes; shortage of red blood cells (anemia); star-shaped red blood cells (acanthocytosis);unusually large red blood cells; aortic dilation; aortic dissection; aortic ruptures; high number of white blood cells (leukocytes); excess eosinophils (eosinophilia); lactic acidosis; diabetes mellitus; low blood iron;  low numbers of white blood cells (lymphonepia); lymph node enlargement (lymphadenopathy); white blood cells can build up to form solid masses (nodular lymphoid hyperplasia); B cell lymphoma; overgrowth of promyelocytes (immature white blood cells); shortage of normal white blood cells; shortage of red blood cells; shortage of platelets (thrombocytopenia); mild anemia; high levels of a protein called ferritin; pulmonic stenosis; irregular heart beat (atrial fibrillation); reduces the production of hemoglobin; shortage of red blood cells (anemia); alveolar capillaries fail to develop normally; number of capillaries is drastically reduced; capillaries are improperly positioned within the walls of the alveoli; (pulmonary veins) are improperly positioned and may be abnormally bundled together with (pulmonary arteries); irregular and uncoordinated electrical activity in the heart’s lower chambers (ventricular fibrillation);  irregular and uncoordinated electrical activity in the heart's upper chambers (atrial fibrillation);  (thrombophilia); pregnancy-induced high blood pressure (preeclampsia); premature breakdown of red blood cells (hemolysis); purplish skin discoloration (livedo reticularis); amino acid arginine and ammonia to accumulate gradually in the blood; ammonia accumulate in the blood; blood vessel abnormalities;  abnormal twists and turns (tortuosity) of arteries; abnormal elongation of the arteries; constriction (stenosis) and abnormal bulging (aneurysm) of vessels; small clusters of enlarged blood vessels just under the skin (telangiectasia); massive loss of blood from the circulatory system; shortage of one or more types of normal blood cells: red blood cells, white blood cells, and platelets; shortage of 3 normal blood cells: red blood cells, white blood cells (pancytopenia); high amounts of a protein called alpha-fetoprotein (AFP) in their blood; decreased amounts of albumin in bloodstream; increase in the amount of cholesterol circulating in the bloodstream; Increased cholesterol levels; increased blood cholesterol; high amount of creatine phosphokinase (CPK) in their blood; abnormal blood clots (thrombi) to form in small blood vessels in the kidneys; hemolytic anemia; hypotension; low blood sodium (hyponatremia); high level of potassium (hyperkalemia); increase in the number of white blood cells (lymphocytosis); production of an abnormally large number of lymphocytes (lymphoproliferation); enlargement of the lymph nodes (lymphadenopathy); autoimmune hemolytic anemia; autoimmune neutropenia; autoimmune thrombocytopenia; abnormally high levels of an immune system protein called immunoglobulin E (IgE) in the blood; low levels of calcium in the blood (hypocalcemia); hyperphosphatemia; hypomagnesemia; hyperaldosteronism; metabolic alkalosis; sharp drop in blood pressure upon standing (orthostatic hypotension); ",,,
"Hormone system","congenital adrenal hyperplasia; Hormone imbalances; underdevelopment of pituitary gland (pituitary hypoplasia); hypoplasia of Leydig cells, which produce androgen, in the testes; thyroid hypoplasia; hypogonadotropic hypogonadism/secondary/ central hypogonadism/ gonadotropin-releasing hormone deficiency/ gonadotropin deficiency (GD)-iReduced production of hormones directs sexual development; High levels of cortisol (hypercortisolism); testosterone shortage; hypogonadism; testosterone shortage; dihydrotestosterone (DHT) shortage; insulin shortage;  develop a single benign tumor in one of the adrenal glands; (hypergonadotropic hypogonadism); reduced levels of the female sex hormone estrogen and increased levels of the male sex hormone testosterone;  elevated levels of the female sex hormone estrogen in both males and females; reduced parathyroid hormone production (hypoparathyroidism); adrenal gland insufficiency; ",,,
Skin,"thin or missing patches of skin on the scalp (dermal hypoplasia or aplasia); very thin skin (dermal hypoplasia); aplasia cutis congenita: abnormal skin development; eczema; development of small yellow deposits of fat under the skin called eruptive xanthoma; loose skin; development of wart-like skin; hyperpigmentation; skin coloring (pigmentation; painful bumps or blisters on the face, neck, back, and arms; excessive body hair growth (hirsutism); eczema; yellowing of the skin; skin ulcers; , allergies; painless peeling of the top layers of skin; loss of sensation; susceptible to developing bruises; small red dots under the skin (petechiae); scarring on the affected area; reddish or purplish net-like pattern on the skin; net-like, mottled skin discoloration; skin rashes; absence of ridges on the skin on the pads of the fingers and toes, as well as on the palms of the hands and soles of the feet, ie not fingerprints (lack of dermatoglyphs);  milia on the face;  blistering of the skin in areas exposed to heat or friction; reduced number of sweat glands on the hands and feet; painful, itchy skin lesions that are puffy and red, and usually appear on the fingers, toes, and ears (Chilblains);  yellowish tinge in the skin; itchy skin; deposits of cholesterol in the skin (xanthomas); hardened skin with painful lumps or patches (panniculitis); pale skin; skin in body folds and creases to become thick, dark, and velvety(acanthosis nigricans); sudden redness and warmth (flushing) ; unusual paleness (pallor) of the skin; bluish appearance of the skin, mucous membranes, or the area underneath the fingernails caused by a lack of oxygen in the blood (cyanosis); unusually fair skin with light-colored hair; skin areas that are dry, wrinkled, or darker in color than the surrounding skin; reduced ability to sweat (hypohidrosis); fewer sweat glands than normal; sweat glands do not function properly; missing patches of skin (erosions); changes in skin coloring; (ulcers) on the skin; oily skin with severe acne; skin lesions;  unusually soft and stretchable skin; enlarged blood vessels called telangiectases, which occur in the eyes and on the surface of the skin; very sensitive to the effects of radiation exposure, including medical x-rays; abnormally dark areas of skin (hyperpigmentation), especially in regions that experience a lot of friction, such as the armpits, elbows, knuckles, and palm creases; hives (urticaria);  loss of skin color in blotches (vitiligo); accumulations of pus (abscesses); open sores; scaling; bluish appearance of the skin, lips, and nails (cyanosis); erythema;  itchiness (pruritus); ",,,
Hair,"loss of underarm and pubic hair; sparse hair; excessive body hair growth (hirsutism); early beard growth; premature pubic hair growth; low facial and body hair;  absence of hair growth in the affected area; have sparse or absent hair in the pubic area and under the arms; sparse scalp and body hair (hypotrichosis);  brittle, sparse, missing hair; patches of missing hair in the eyebrows; brittle hair; hair loss caused by a malfunctioning immune reaction (alopecia areata); hair loss (alopecia); sparse hair (hypotrichosis) on the scalp beginning in infancy; hair is usually coarse, dry, and tightly curled, woolly hair; Scalp hair lighter in color than expected; fragile and easily broken scalp hair; cannot grow hair longer than a few inches; ",,,
"Bone abnormalities","hypoplasia of bones of the skull; (valgus deformity)  the bone segment distal to a joint is angled outward, that is, angled laterally, away from the body's midline. The opposite deformation, where the twist or angulation is directed medially, toward the center of the body, is called varus; bone abnormalities in their hands and arms; skeletal abnormalitie; abnormal bone development (dysostosis multiplex; abnormally small, fragile rib cage; underdevelopment or absence of the bones in the forearms and the thumbs, which are known as radial ray malformations; osteopenia or osteoporosis; fragile bones; slender long bones in the arms and legs; abnormal fusion of certain bones in the skulls (craniosynostosis); abnormal fusion of certain bones in the forearms (radioulnar synostosis); outgrowth of the tailbone (caudal appendage); skeletal abnormalities involving the spine, ribs, or skull; lack of normal bone formation (ossification) in the skull, spine, and pelvis; problem in converting cartilage into bone (ossification); slowed mineralization of bone (delayed bone age); underdevelopment of the bone under the skin; buildup of dark pigment in connective tissues; knock knees; unusually shaped collarbones (clavicles) and pelvic bones; Bones in the spine, rib cage, pelvis, and limbs may be underdeveloped or in some cases absent; disorder of cartilage and bone development; Bones in the spine, rib cage, pelvis, and limbs may be underdeveloped or in some cases absent",,,
Head,"unusually small head size (microcephaly); short and wide head in proportion to its size (microbrachycephaly); large head size (macrocephaly); male pattern baldness; long, narrow head; sparse hair; unusually long and narrow in shape (dolichocephalic); triangle-shaped face;  flattened in the back (brachycephaly); wide, short skull (brachycephaly); localized areas of missing skin typically occurring on the top of the head (the skull vertex); Migraine; thickening of the bones at the top of the skull (calvaria); Hair is lost in a well-defined pattern, beginning above both temples. Over time, the hairline recedes to form a characteristic ""M"" shape. Hair also thins at the crown (near the top of the head), often progressing to partial or complete baldness (male-pattern baldness); the hair becomes thinner all over the head, and the hairline does not recede; premature fusion of certain skull bones (craniosynostosis); malfunction of the temporomandibular joint (TMJ), ",,,
"Spine abnormalities","hypoplasia of a peg-like bone in the neck called the odontoid process; development of bones in the spine and ribs ie mishapen and abnormally joint the bones of the spine (vertebrae); abnormal curvature of the spine (scoliosis)脊柱側彎 ie kyphoscoliosis or hyperlordosis; abnormal side-to-side curvature of the spine (scoliosis); rounded upper back that also curves to the side (kyphoscoliosis); exaggerated curvature of the lower back (hyperlordosis); tall, narrow spinal bones (vertebrae); pronounced and permanent sway of the lower back (lordosis) ; abnormal front-to-back curvature of the spine (kyphosis); abnormally shaped bones of the spine (vertebrae); spinal and rib abnormalities; deformations of the bones in the spine (vertebrae); Dislocation of the bones at the top of the spine (atlantoaxial subluxation); pinching (compression) of the spinal cord; dislocation of the hips; spondyloarthropathies; fusion of spinal bones in the neck (cervical vertebrae); ",,,
Pelvis,"underdevelopment of the wing-shaped structures of pelvis (hypoplastic iliac wings); ",,,
Joints,"Deformities of joint (contracturers) of hips, knees, ankles, elbows, or wrists; (camptodactyly) bent fingers and toes hand deformity in which all of the fingers are angled outward toward the fifth finger (ulnar deviation, also called ""windmill vane hand"");  inward- and downward-turning feet (clubfoot); (valgus deformity)  the bone segment distal to a joint is angled outward, that is, angled laterally, away from the body's midline. The opposite deformation, where the twist or angulation is directed medially, toward the center of the body, is called varus; loose joints (joints laxity, hyperextensible)  /very flexible (hypermobile; stiff joints; stiff, rigid joints (arthrogryposis); misalignment of hip joints (hip dysplasia); develop arthritis in large joints; deterioration of joints; joint movement restriction; joint inflammation; vertebrae joint inflammation (spondylities;  Inflammation of joints between spine and rib; swelling of joints ; pain joints; sacroiliac joints;  (joints between the pelvic bones (the ilia) and the base of the spine (the sacrum) ) inflammation (sacroiliitis;   degeneration of (avascular necrosis) of the hip and shoulder joints;  osteoarthritis: Inflammation of the lining of joints (synovium;   Inflammation of the joints of the hands, feet, wrist and ankle (synovitis;  Charcot joints: bones and tissue surrounding joints are destroyed; enlarged wrist and ankled knee and ankle joints; webbing of the skin (pterygium) at the joints; abnormal wrist and elbow joint development; calcium deposits in the joint; rheumatoid arthritis; unusually large range of joint movement (hypermobility); ongoing joint inflammation (chronic inflammatory arthritis); joints that are either loose and very flexible (hypermobile); dislocations of the hips, knees, and elbows; unusually large range of joint movement (hyperextensibility); ",,,
Muscle,"Decrease in the mass/ muscle wasting (atrophy); loss of tissue (atrophy); hypoplasia; poor/ weak/ low muscle tone (hypotonia); poor muscle development; muscle stiffness (spasticity); muscle weakness (myopathy); Uncontrolled muscle tensing/cramping/contraction (dystonia): cervical dystonia, focal dystonia of hand; dystonia affecting arms and legs; Musician's dystonia is a form of task-specific focal dystonia; embouchure dystonia; poor muscle coordination; involuntory muscle contractions (dystonia) of the head and neck; sudden attacks of uncontrollable muscle activity; muscle wasting (amyotrophy);  facial muscle weakness; muscle spasms; disorder that affects connective tissue; muscle cramps; muscle spasms in the hands and feet (carpopedal spasms); muscle cramping; ",,,
"Inside Organs","Underdevelopment of the lungs (pulmonary hypoplasia); heart abnormality; heart hypoplasia; hypoplasia of one or both kidneys; heart defec; heart defects: tetralogy of Fallot; heart defect: abnormal connection between two major arteries, patent ductus arteriosus (PDA); heart defect: aortic root dilatatio; heart defect: (ASD) artricular septal defects or ventricular septal defects (VSD); abnormal heart rhythm (arrhythmia;  enlarged, weakened heart muscle (hypertrophic cardiomyopathy); abnormal development (dysplasia) of heart (cardiac) valves; narrowing (stenosis) of the heart valves; tightening of the pericardium; Abnormal development of the heart (cardio-); tetralogy of Fallot; weakened and enlarged heart (cardiomyopathy); abnormal development of the diaphragm; abnormally small, fragile rib cage; enlarged liver and spleen (hepatosplenomegaly); inflammation of the pancreas (pancreatitis); small kidneys; abnormalities with kidney: malformations of the kidneys and urinary system;  malformations of urinary tract; malfunction of kidneys and urinary systems; Fluid-filled sacs (cysts) in the kidneys; problems with gastrointestinal systems; liver problems; abnormalities of the bladder; intestinal abnormalities; gastrointestinal disorder; enlargement of the spleen (splenomegaly: enlargement of the liver (hepatomegaly); intestinal damage; narrowing or absence of a portion of intestine (intestinal atresia); twisting of the intestine; problems with liver and kidney functions; kidney (renal) disease; kidney stones; urinary tract stones; chronic lung damage; excess iron stored in the body's tissues and organs particularly the liver, bone marrow, and spleen; chronic liver disease (cirrhosis); hepatocellular carcinoma; tuberculosis; elevated blood levels of liver enzymes; liver damage; bile ducts may be narrow, malformed, and reduced in number (bile duct paucity); prostate stone; liver damage (cirrhosis); loss of kidney function; dilated cardiomyopathy; abnormal twisting (malrotation) of the large intestine; malformations of the gastrointestinal tract; changes in heart rhythm (arrhythmia); disruption in the rhythm of the heart's lower chambers (ventricular arrhythmia); a heart condition that causes the heart (cardiac) muscle to take longer than usual to recharge between beats (long QT); irregular heartbeats; cardiac arrest; catecholaminergic polymorphic ventricular tachycardia (CPVT); abnormally fast and irregular heartbeat called ventricular tachycardia; Progressive liver damage; fatty liver; myocardium to break down over time; heart failure; protrusion of organs through gaps in muscles (hernias); elongation of the intestines; pouches called diverticula in the intestinal walls; heart attacks; kidney (renal) abnormalities; narrowing of the airway (subglottic stenosis); fluid-filled sacs (cysts) in the pancreas; inflammatory bowel disease; kidney failure; rapid heart rate;  kidney damage; acute kidney failure; glomerulonephritis; autoimmune hepatitis; absent of spleen (asplenia); Inability to control the bowels or the flow of urine (incontinence); uncontrollable crying or laughing (pseudobulbar signs); frequent bouts of pneumonia; pneumatoceles; difficulty with bowel and bladder function; narrowing of the anus (anal stenosis); ",,,
"Four Limbs","paralysis of the limbs (paraplegia); abnormal development of arms,  resulting in characteristic arm malformation; painful bumps or blisters on the arms; underdevelopment or absence of the bones in the forearms and the thumbs, which are known as radial ray malformations; slender long bones in the arms and legs; weakness of the arms and legs (spastic quadriparesis); abnormal fusion of certain bones in the forearms (radioulnar synostosis); elbow abnormalities; abnormal fusion of certain bones in the forearm (radioulnar synostosis); short limbs; short-limbed;  bowed legs; weakness in the limbs (peripheral neuropathy); limbs malformations; one leg that appears longer than the other; reduced sensation in their legs; stiffness in the arms and/or legs (spasticity); reduced sensation in their arms and legs (peripheral neuropathy); involuntary movements of the arms and legs; uncontrollable movements of the limbs (choreoathetosis); involuntary limb movements (choreoathetosis); swollen legs; weakness and loss of sensation in the limbs; short limbs; loss of sensation in the limbs; shortened bones in the arms and legs; lower limb areflexia; very short arms and legs; swelling (lymphedema) of the limbs; ",,,
trunk,"soft out-pouching around the belly-button (an umbilical hernia); soft out-pouching in the lower abdomen (inguinal hernia); opening in the center of the abdominal wall where the umbilical cord meets the abdomen. (intestines, stomach, and liver) protrude through the opening into the umbilical cord and are covered by the same protective membrane that covers the umbilical (Omphalocele).  A defect in the abdominal wall, usually to the right of the umbilical cord, through which the large and small intestines protrude. no membrane covering the exposed organs in gastroschisis.(Gastroschisis);  narrow chest; short ribs; prominent, rounded abdomen; enlarged abdomen; swollen abdomen; prominent, rounded abdomen; underdeveloped rib cage; redundant periumbilical skin; ",,,
"Hands and feet","development of inward- and upward-turning feet (clubfeet); malformation of the hands and feet called ectrodactyly; abnormality involving hands; feet abnormalities; numbness, tingling, and weakness in the hands and fingers (carpal tunnel syndrome); large and fleshy hands and/or feet; prominent heels; flat feet (pes planus); small depressions (pits) in the skin of the palms of the hands and soles of the feet; a single crease across the palm; short upper arms and thighs; short arms and legs; hand abnormality; small hands; hand malformations; swollen feet; soles of the feet that are rounded outward (rocker-bottom feet); deep split in the hands or feet with missing fingers or toes and fusion of the remaining digits (ectrodactyly); hands and feet are wide; ",,,
"fingers and toes","hypoplasia of the tips of the fingers or toes, underdeveloped thumbs (thumb hypoplasia); underdevelopment or loss of nails; short fingers and toes; short fingernails and toenails; extra fingers and/or toes (digits; polydactyly); partially webbed toes (partial syndactyly); fused fingers and toes (syndactyly); numbness, tingling, and weakness in the fingers; fusion of the skin of the fingers or toes (syndactyly); small or abnormal toenails; unusually short fingers and toes (brachymetaphalangy); unusual curving of the fingers (clinodactyly); unusual curving of the fingers or toes (clinodactyly); short fifth (pinky) fingers;  short fingers (brachydactyly); missing fingers (oligodactyly); webbing of the skin between some fingers (cutaneous syndactyly); diverge of ring finger and middle finger, three-pronged (trident) fingers;  extra digits can be on the same side of the hand or foot as the pinky or little toe (postaxial polydactyly) or on the same side as the thumb or great toe (preaxial polydactyly); finger abnormalities;  long, slender fingers and toes (arachnodactyly);  unusually fleshy pads at the tips of the fingers and toes;  big toe that crosses over the other toes; partial fusion (syndactyly) of the second and third toe; misshapen or absent fingernails and toenails; bent fingers and toes (camptodactyly); missing all of their fingernails and toenails (anonychia);  part of the nail is missing (hyponychia); at a minimum, three digits on each hand and foot are fused together; hitchhiker thumbs; broad fingers and toes;",,,
